project;interface;category;value
Collection;java.util.List;access;46.0
Collection;java.util.List;deletion;45.0
Collection;java.util.List;insertion;100.0
Collection;java.util.List;other;149.0
Collection;java.util.List;search;33.0
Collection;java.util.Map;access;103.0
Collection;java.util.Map;deletion;54.0
Collection;java.util.Map;insertion;80.0
Collection;java.util.Map;other;192.0
Collection;java.util.Map;search;89.0
Collection;java.util.Set;deletion;11.0
Collection;java.util.Set;insertion;6.0
Collection;java.util.Set;other;102.0
Collection;java.util.Set;search;34.0
Quickserver;java.util.List;access;10.0
Quickserver;java.util.List;deletion;16.0
Quickserver;java.util.List;insertion;28.0
Quickserver;java.util.List;other;54.0
Quickserver;java.util.List;search;1.0
Quickserver;java.util.Map;access;10.0
Quickserver;java.util.Map;deletion;1.0
Quickserver;java.util.Map;insertion;9.0
Quickserver;java.util.Map;other;4.0
Quickserver;java.util.Set;deletion;7.0
Quickserver;java.util.Set;insertion;5.0
Quickserver;java.util.Set;other;13.0
Quickserver;java.util.Set;search;1.0
