"project";"class";"from";"to";"category";"metric"
"Collection";"org.apache.commons.collections.comparators.FixedOrderComparator";"List";"Map";"other";1.0
"Collection";"org.apache.commons.collections.comparators.FixedOrderComparator";"List";"Set";"other";0.92
"Collection";"org.apache.commons.collections.comparators.FixedOrderComparator";"Map";"List";"access";0.75
"Collection";"org.apache.commons.collections.comparators.FixedOrderComparator";"Map";"List";"insertion";1.0
"Collection";"org.apache.commons.collections.comparators.FixedOrderComparator";"Map";"Set";"access";1.0
"Collection";"org.apache.commons.collections.comparators.FixedOrderComparator";"Map";"Set";"insertion";1.0
"Collection";"org.apache.commons.collections.bag.AbstractMapBag.BagIterator";"Map";"List";"other";1.0
"Collection";"org.apache.commons.collections.bag.AbstractMapBag.BagIterator";"Map";"Set";"other";1.0
"Collection";"org.apache.commons.collections.bag.AbstractMapBag.BagIterator";"Set";"List";"other";0.92
"Collection";"org.apache.commons.collections.bag.AbstractMapBag.BagIterator";"Set";"Map";"other";1.0
"Collection";"org.apache.commons.collections.list.SetUniqueList";"List";"Map";"deletion";0.8
"Collection";"org.apache.commons.collections.list.SetUniqueList";"List";"Map";"other";0.93
"Collection";"org.apache.commons.collections.list.SetUniqueList";"List";"Set";"deletion";0.8
"Collection";"org.apache.commons.collections.list.SetUniqueList";"List";"Set";"other";0.92
"Collection";"org.apache.commons.collections.list.SetUniqueList";"Set";"List";"search";0.5
"Collection";"org.apache.commons.collections.list.SetUniqueList";"Set";"List";"deletion";0.2
"Collection";"org.apache.commons.collections.list.SetUniqueList";"Set";"List";"insertion";0.75
"Collection";"org.apache.commons.collections.list.SetUniqueList";"Set";"Map";"search";1.0
"Collection";"org.apache.commons.collections.list.SetUniqueList";"Set";"Map";"deletion";0.6
"Collection";"org.apache.commons.collections.list.SetUniqueList";"Set";"Map";"insertion";1.0
"Collection";"org.apache.commons.collections.LRUMap";"Set";"List";"other";0.92
"Collection";"org.apache.commons.collections.LRUMap";"Set";"Map";"other";1.0
"Collection";"org.apache.commons.collections.list.TransformedList";"List";"Map";"search";1.0
"Collection";"org.apache.commons.collections.list.TransformedList";"List";"Map";"access";0.75
"Collection";"org.apache.commons.collections.list.TransformedList";"List";"Map";"deletion";0.8
"Collection";"org.apache.commons.collections.list.TransformedList";"List";"Map";"insertion";1.0
"Collection";"org.apache.commons.collections.list.TransformedList";"List";"Map";"other";1.0
"Collection";"org.apache.commons.collections.list.TransformedList";"List";"Set";"search";1.0
"Collection";"org.apache.commons.collections.list.TransformedList";"List";"Set";"access";1.0
"Collection";"org.apache.commons.collections.list.TransformedList";"List";"Set";"deletion";0.8
"Collection";"org.apache.commons.collections.list.TransformedList";"List";"Set";"insertion";0.5
"Collection";"org.apache.commons.collections.list.TransformedList";"List";"Set";"other";1.0
"Collection";"org.apache.commons.collections.map.LazySortedMap";"Map";"List";"search";1.0
"Collection";"org.apache.commons.collections.map.LazySortedMap";"Map";"List";"access";1.0
"Collection";"org.apache.commons.collections.map.LazySortedMap";"Map";"List";"other";1.0
"Collection";"org.apache.commons.collections.map.LazySortedMap";"Map";"Set";"search";1.0
"Collection";"org.apache.commons.collections.map.LazySortedMap";"Map";"Set";"access";1.0
"Collection";"org.apache.commons.collections.map.LazySortedMap";"Map";"Set";"other";1.0
"Collection";"org.apache.commons.collections.map.LinkedMap.LinkedMapList";"Set";"List";"search";0.75
"Collection";"org.apache.commons.collections.map.LinkedMap.LinkedMapList";"Set";"List";"other";0.83
"Collection";"org.apache.commons.collections.map.LinkedMap.LinkedMapList";"Set";"Map";"search";1.0
"Collection";"org.apache.commons.collections.map.LinkedMap.LinkedMapList";"Set";"Map";"other";1.0
"Collection";"org.apache.commons.collections.TransformerUtils";"Map";"List";"deletion";0.8
"Collection";"org.apache.commons.collections.TransformerUtils";"Map";"List";"other";0.93
"Collection";"org.apache.commons.collections.TransformerUtils";"Map";"Set";"deletion";0.8
"Collection";"org.apache.commons.collections.TransformerUtils";"Map";"Set";"other";0.92
"Collection";"org.apache.commons.collections.TransformerUtils";"Set";"List";"other";0.92
"Collection";"org.apache.commons.collections.TransformerUtils";"Set";"Map";"other";1.0
"Collection";"org.apache.commons.collections.SequencedHashMap";"List";"Map";"insertion";1.0
"Collection";"org.apache.commons.collections.SequencedHashMap";"List";"Set";"insertion";0.75
"Collection";"org.apache.commons.collections.SequencedHashMap";"Map";"List";"search";1.0
"Collection";"org.apache.commons.collections.SequencedHashMap";"Map";"List";"access";0.75
"Collection";"org.apache.commons.collections.SequencedHashMap";"Map";"List";"deletion";0.6
"Collection";"org.apache.commons.collections.SequencedHashMap";"Map";"List";"insertion";1.0
"Collection";"org.apache.commons.collections.SequencedHashMap";"Map";"List";"other";0.93
"Collection";"org.apache.commons.collections.SequencedHashMap";"Map";"Set";"search";1.0
"Collection";"org.apache.commons.collections.SequencedHashMap";"Map";"Set";"access";1.0
"Collection";"org.apache.commons.collections.SequencedHashMap";"Map";"Set";"deletion";0.6
"Collection";"org.apache.commons.collections.SequencedHashMap";"Map";"Set";"insertion";1.0
"Collection";"org.apache.commons.collections.SequencedHashMap";"Map";"Set";"other";0.92
"Collection";"org.apache.commons.collections.SequencedHashMap";"Set";"List";"other";0.83
"Collection";"org.apache.commons.collections.SequencedHashMap";"Set";"Map";"other";0.92
"Collection";"org.apache.commons.collections.iterators.ReverseListIterator";"List";"Map";"other";0.93
"Collection";"org.apache.commons.collections.iterators.ReverseListIterator";"List";"Set";"other";0.92
"Collection";"org.apache.commons.collections.bidimap.TreeBidiMap.Inverse";"Map";"List";"other";1.0
"Collection";"org.apache.commons.collections.bidimap.TreeBidiMap.Inverse";"Map";"Set";"other";1.0
"Collection";"org.apache.commons.collections.bidimap.TreeBidiMap.Inverse";"Set";"List";"other";0.92
"Collection";"org.apache.commons.collections.bidimap.TreeBidiMap.Inverse";"Set";"Map";"other";1.0
"Collection";"org.apache.commons.collections.FastHashMap.KeySet";"Map";"List";"other";1.0
"Collection";"org.apache.commons.collections.FastHashMap.KeySet";"Map";"Set";"other";1.0
"Collection";"org.apache.commons.collections.map.PredicatedSortedMap";"Map";"List";"search";1.0
"Collection";"org.apache.commons.collections.map.PredicatedSortedMap";"Map";"List";"access";1.0
"Collection";"org.apache.commons.collections.map.PredicatedSortedMap";"Map";"List";"other";1.0
"Collection";"org.apache.commons.collections.map.PredicatedSortedMap";"Map";"Set";"search";1.0
"Collection";"org.apache.commons.collections.map.PredicatedSortedMap";"Map";"Set";"access";1.0
"Collection";"org.apache.commons.collections.map.PredicatedSortedMap";"Map";"Set";"other";1.0
