"project";"class";"from";"to";"category";"metric"
"JFreechart";"org.jfree.data.time.TimeTableXYDataset";"List";"Map";"access";0.75
"JFreechart";"org.jfree.data.time.TimeTableXYDataset";"List";"Map";"other";0.87
"JFreechart";"org.jfree.data.time.TimeTableXYDataset";"List";"Set";"access";1.0
"JFreechart";"org.jfree.data.time.TimeTableXYDataset";"List";"Set";"other";0.83
"JFreechart";"org.jfree.chart.plot.ContourPlot";"List";"Map";"deletion";0.8
"JFreechart";"org.jfree.chart.plot.ContourPlot";"List";"Map";"insertion";1.0
"JFreechart";"org.jfree.chart.plot.ContourPlot";"List";"Map";"other";1.0
"JFreechart";"org.jfree.chart.plot.ContourPlot";"List";"Set";"deletion";0.8
"JFreechart";"org.jfree.chart.plot.ContourPlot";"List";"Set";"insertion";0.75
"JFreechart";"org.jfree.chart.plot.ContourPlot";"List";"Set";"other";0.92
"JFreechart";"org.jfree.chart.urls.CustomPieURLGenerator";"List";"Map";"access";0.75
"JFreechart";"org.jfree.chart.urls.CustomPieURLGenerator";"List";"Map";"insertion";1.0
"JFreechart";"org.jfree.chart.urls.CustomPieURLGenerator";"List";"Map";"other";0.93
"JFreechart";"org.jfree.chart.urls.CustomPieURLGenerator";"List";"Set";"access";1.0
"JFreechart";"org.jfree.chart.urls.CustomPieURLGenerator";"List";"Set";"insertion";0.75
"JFreechart";"org.jfree.chart.urls.CustomPieURLGenerator";"List";"Set";"other";0.83
"JFreechart";"org.jfree.chart.urls.CustomPieURLGenerator";"Map";"List";"access";0.75
"JFreechart";"org.jfree.chart.urls.CustomPieURLGenerator";"Map";"List";"insertion";1.0
"JFreechart";"org.jfree.chart.urls.CustomPieURLGenerator";"Map";"List";"other";0.93
"JFreechart";"org.jfree.chart.urls.CustomPieURLGenerator";"Map";"Set";"access";1.0
"JFreechart";"org.jfree.chart.urls.CustomPieURLGenerator";"Map";"Set";"insertion";1.0
"JFreechart";"org.jfree.chart.urls.CustomPieURLGenerator";"Map";"Set";"other";0.92
"JFreechart";"org.jfree.chart.urls.CustomPieURLGenerator";"Set";"List";"other";0.92
"JFreechart";"org.jfree.chart.urls.CustomPieURLGenerator";"Set";"Map";"other";1.0
"JFreechart";"org.jfree.chart.LegendItemCollection";"List";"Map";"access";0.75
"JFreechart";"org.jfree.chart.LegendItemCollection";"List";"Map";"insertion";1.0
"JFreechart";"org.jfree.chart.LegendItemCollection";"List";"Map";"other";0.87
"JFreechart";"org.jfree.chart.LegendItemCollection";"List";"Set";"access";1.0
"JFreechart";"org.jfree.chart.LegendItemCollection";"List";"Set";"insertion";0.5
"JFreechart";"org.jfree.chart.LegendItemCollection";"List";"Set";"other";0.75
"JFreechart";"org.jfree.data.xy.DefaultTableXYDataset";"List";"Map";"search";1.0
"JFreechart";"org.jfree.data.xy.DefaultTableXYDataset";"List";"Map";"access";0.75
"JFreechart";"org.jfree.data.xy.DefaultTableXYDataset";"List";"Map";"deletion";0.6
"JFreechart";"org.jfree.data.xy.DefaultTableXYDataset";"List";"Map";"insertion";1.0
"JFreechart";"org.jfree.data.xy.DefaultTableXYDataset";"List";"Map";"other";0.93
"JFreechart";"org.jfree.data.xy.DefaultTableXYDataset";"List";"Set";"search";0.75
"JFreechart";"org.jfree.data.xy.DefaultTableXYDataset";"List";"Set";"access";1.0
"JFreechart";"org.jfree.data.xy.DefaultTableXYDataset";"List";"Set";"deletion";0.6
"JFreechart";"org.jfree.data.xy.DefaultTableXYDataset";"List";"Set";"insertion";0.75
"JFreechart";"org.jfree.data.xy.DefaultTableXYDataset";"List";"Set";"other";0.92
"JFreechart";"org.jfree.data.xy.DefaultTableXYDataset";"Set";"List";"search";0.75
"JFreechart";"org.jfree.data.xy.DefaultTableXYDataset";"Set";"List";"deletion";0.6
"JFreechart";"org.jfree.data.xy.DefaultTableXYDataset";"Set";"List";"insertion";0.75
"JFreechart";"org.jfree.data.xy.DefaultTableXYDataset";"Set";"List";"other";0.83
"JFreechart";"org.jfree.data.xy.DefaultTableXYDataset";"Set";"Map";"search";1.0
"JFreechart";"org.jfree.data.xy.DefaultTableXYDataset";"Set";"Map";"deletion";0.6
"JFreechart";"org.jfree.data.xy.DefaultTableXYDataset";"Set";"Map";"insertion";1.0
"JFreechart";"org.jfree.data.xy.DefaultTableXYDataset";"Set";"Map";"other";0.92
"JFreechart";"org.jfree.data.general.CombinedDataset";"List";"Map";"access";0.75
"JFreechart";"org.jfree.data.general.CombinedDataset";"List";"Map";"insertion";1.0
"JFreechart";"org.jfree.data.general.CombinedDataset";"List";"Map";"other";0.93
"JFreechart";"org.jfree.data.general.CombinedDataset";"List";"Set";"access";1.0
"JFreechart";"org.jfree.data.general.CombinedDataset";"List";"Set";"insertion";0.75
"JFreechart";"org.jfree.data.general.CombinedDataset";"List";"Set";"other";0.92
