"project";"class";"from";"to";"category";"metric"
"Quartz";"org.quartz.impl.RemoteMBeanScheduler";"List";"Map";"access";0.75
"Quartz";"org.quartz.impl.RemoteMBeanScheduler";"List";"Set";"access";1.0
"Quartz";"org.quartz.core.jmx.JobDetailSupport";"List";"Map";"insertion";1.0
"Quartz";"org.quartz.core.jmx.JobDetailSupport";"List";"Map";"other";0.93
"Quartz";"org.quartz.core.jmx.JobDetailSupport";"List";"Set";"insertion";0.75
"Quartz";"org.quartz.core.jmx.JobDetailSupport";"List";"Set";"other";0.83
"Quartz";"org.quartz.CronExpression";"List";"Map";"search";1.0
"Quartz";"org.quartz.CronExpression";"List";"Map";"other";1.0
"Quartz";"org.quartz.CronExpression";"List";"Set";"search";0.75
"Quartz";"org.quartz.CronExpression";"List";"Set";"other";0.92
"Quartz";"org.quartz.CronExpression";"Map";"List";"access";0.75
"Quartz";"org.quartz.CronExpression";"Map";"Set";"access";1.0
"Quartz";"org.quartz.CronExpression";"Set";"List";"search";0.75
"Quartz";"org.quartz.CronExpression";"Set";"List";"insertion";0.75
"Quartz";"org.quartz.CronExpression";"Set";"List";"other";0.83
"Quartz";"org.quartz.CronExpression";"Set";"Map";"search";1.0
"Quartz";"org.quartz.CronExpression";"Set";"Map";"insertion";1.0
"Quartz";"org.quartz.CronExpression";"Set";"Map";"other";0.92
"Quartz";"org.quartz.impl.jdbcjobstore.DBSemaphore";"Set";"List";"search";0.75
"Quartz";"org.quartz.impl.jdbcjobstore.DBSemaphore";"Set";"List";"deletion";0.8
"Quartz";"org.quartz.impl.jdbcjobstore.DBSemaphore";"Set";"List";"insertion";0.75
"Quartz";"org.quartz.impl.jdbcjobstore.DBSemaphore";"Set";"Map";"search";1.0
"Quartz";"org.quartz.impl.jdbcjobstore.DBSemaphore";"Set";"Map";"deletion";0.8
"Quartz";"org.quartz.impl.jdbcjobstore.DBSemaphore";"Set";"Map";"insertion";1.0
"Quartz";"org.quartz.simpl.SimpleThreadPool";"List";"Map";"access";1.0
"Quartz";"org.quartz.simpl.SimpleThreadPool";"List";"Map";"deletion";0.8
"Quartz";"org.quartz.simpl.SimpleThreadPool";"List";"Map";"insertion";1.0
"Quartz";"org.quartz.simpl.SimpleThreadPool";"List";"Map";"other";0.93
"Quartz";"org.quartz.simpl.SimpleThreadPool";"List";"Set";"access";1.0
"Quartz";"org.quartz.simpl.SimpleThreadPool";"List";"Set";"deletion";0.8
