"project";"class";"from";"to";"category";"metric"
"Freecs";"freecs.auth.SQLAuthenticator";"Map";"List";"search";1.0
"Freecs";"freecs.auth.SQLAuthenticator";"Map";"Set";"search";1.0
"Freecs";"freecs.core.UserManager.UserStore";"Map";"List";"search";1.0
"Freecs";"freecs.core.UserManager.UserStore";"Map";"List";"access";0.75
"Freecs";"freecs.core.UserManager.UserStore";"Map";"List";"deletion";0.8
"Freecs";"freecs.core.UserManager.UserStore";"Map";"List";"insertion";1.0
"Freecs";"freecs.core.UserManager.UserStore";"Map";"List";"other";0.93
"Freecs";"freecs.core.UserManager.UserStore";"Map";"Set";"search";1.0
"Freecs";"freecs.core.UserManager.UserStore";"Map";"Set";"access";1.0
"Freecs";"freecs.core.UserManager.UserStore";"Map";"Set";"deletion";0.8
"Freecs";"freecs.core.UserManager.UserStore";"Map";"Set";"insertion";1.0
"Freecs";"freecs.core.UserManager.UserStore";"Map";"Set";"other";0.92
"Freecs";"freecs.core.UserManager.UserStore";"Set";"List";"other";0.92
"Freecs";"freecs.core.UserManager.UserStore";"Set";"Map";"other";1.0
"Freecs";"freecs.util.MessageTemplateFinder";"Map";"List";"deletion";0.8
"Freecs";"freecs.util.MessageTemplateFinder";"Map";"Set";"deletion";0.8
"Freecs";"freecs.util.MessageTemplateFinder";"Set";"List";"search";0.75
"Freecs";"freecs.util.MessageTemplateFinder";"Set";"List";"insertion";0.75
"Freecs";"freecs.util.MessageTemplateFinder";"Set";"List";"other";0.92
"Freecs";"freecs.util.MessageTemplateFinder";"Set";"Map";"search";1.0
"Freecs";"freecs.util.MessageTemplateFinder";"Set";"Map";"insertion";1.0
"Freecs";"freecs.util.MessageTemplateFinder";"Set";"Map";"other";1.0
"Freecs";"freecs.content.HTTPRequest";"Map";"List";"insertion";1.0
"Freecs";"freecs.content.HTTPRequest";"Map";"Set";"insertion";1.0
"Freecs";"freecs.core.Listener";"Map";"List";"access";0.75
"Freecs";"freecs.core.Listener";"Map";"List";"insertion";1.0
"Freecs";"freecs.core.Listener";"Map";"List";"other";1.0
"Freecs";"freecs.core.Listener";"Map";"Set";"access";1.0
"Freecs";"freecs.core.Listener";"Map";"Set";"insertion";1.0
"Freecs";"freecs.core.Listener";"Map";"Set";"other";1.0
"Freecs";"freecs.core.Listener";"Set";"List";"other";0.92
"Freecs";"freecs.core.Listener";"Set";"Map";"other";1.0
"Freecs";"freecs.core.User";"List";"Map";"search";1.0
"Freecs";"freecs.core.User";"List";"Map";"deletion";0.8
"Freecs";"freecs.core.User";"List";"Map";"insertion";1.0
"Freecs";"freecs.core.User";"List";"Map";"other";0.93
"Freecs";"freecs.core.User";"List";"Set";"search";0.75
"Freecs";"freecs.core.User";"List";"Set";"deletion";0.8
"Freecs";"freecs.core.User";"List";"Set";"insertion";0.75
"Freecs";"freecs.core.User";"List";"Set";"other";0.83
"Freecs";"freecs.core.User";"Map";"List";"access";0.75
"Freecs";"freecs.core.User";"Map";"List";"deletion";0.8
"Freecs";"freecs.core.User";"Map";"List";"insertion";1.0
"Freecs";"freecs.core.User";"Map";"List";"other";1.0
"Freecs";"freecs.core.User";"Map";"Set";"access";1.0
"Freecs";"freecs.core.User";"Map";"Set";"deletion";0.8
"Freecs";"freecs.core.User";"Map";"Set";"insertion";1.0
"Freecs";"freecs.core.User";"Map";"Set";"other";1.0
"Freecs";"freecs.core.User";"Set";"List";"other";0.92
"Freecs";"freecs.core.User";"Set";"Map";"other";1.0
"Freecs";"freecs.commands.CmdListVips";"List";"Map";"access";0.75
"Freecs";"freecs.commands.CmdListVips";"List";"Map";"other";0.93
"Freecs";"freecs.commands.CmdListVips";"List";"Set";"access";1.0
"Freecs";"freecs.commands.CmdListVips";"List";"Set";"other";0.83
"Freecs";"freecs.commands.CmdPunish";"List";"Map";"other";0.93
"Freecs";"freecs.commands.CmdPunish";"List";"Set";"other";0.75
"Freecs";"freecs.core.GroupManager";"List";"Map";"search";1.0
"Freecs";"freecs.core.GroupManager";"List";"Map";"deletion";0.8
"Freecs";"freecs.core.GroupManager";"List";"Map";"insertion";1.0
"Freecs";"freecs.core.GroupManager";"List";"Map";"other";1.0
"Freecs";"freecs.core.GroupManager";"List";"Set";"search";0.75
"Freecs";"freecs.core.GroupManager";"List";"Set";"deletion";0.6
"Freecs";"freecs.core.GroupManager";"List";"Set";"insertion";0.5
"Freecs";"freecs.core.GroupManager";"List";"Set";"other";0.83
"Freecs";"freecs.core.GroupManager";"Map";"List";"access";0.75
"Freecs";"freecs.core.GroupManager";"Map";"List";"deletion";0.8
"Freecs";"freecs.core.GroupManager";"Map";"List";"insertion";1.0
"Freecs";"freecs.core.GroupManager";"Map";"List";"other";0.93
"Freecs";"freecs.core.GroupManager";"Map";"Set";"access";1.0
"Freecs";"freecs.core.GroupManager";"Map";"Set";"deletion";0.8
"Freecs";"freecs.core.GroupManager";"Map";"Set";"insertion";1.0
"Freecs";"freecs.core.GroupManager";"Map";"Set";"other";0.92
"Freecs";"freecs.core.GroupManager";"Set";"List";"other";0.92
"Freecs";"freecs.core.GroupManager";"Set";"Map";"other";1.0
"Freecs";"freecs.commands.CommandSet";"Map";"List";"access";0.75
"Freecs";"freecs.commands.CommandSet";"Map";"List";"insertion";1.0
"Freecs";"freecs.commands.CommandSet";"Map";"List";"other";1.0
"Freecs";"freecs.commands.CommandSet";"Map";"Set";"access";1.0
"Freecs";"freecs.commands.CommandSet";"Map";"Set";"insertion";1.0
"Freecs";"freecs.commands.CommandSet";"Map";"Set";"other";1.0
"Freecs";"freecs.commands.CommandSet";"Set";"List";"other";0.92
"Freecs";"freecs.commands.CommandSet";"Set";"Map";"other";1.0
"Freecs";"freecs.util.logger.LogWriter";"Map";"List";"access";0.75
"Freecs";"freecs.util.logger.LogWriter";"Map";"List";"deletion";0.8
"Freecs";"freecs.util.logger.LogWriter";"Map";"List";"insertion";1.0
"Freecs";"freecs.util.logger.LogWriter";"Map";"Set";"access";1.0
"Freecs";"freecs.util.logger.LogWriter";"Map";"Set";"deletion";0.8
"Freecs";"freecs.util.logger.LogWriter";"Map";"Set";"insertion";1.0
"Freecs";"freecs.core.UserManager.UserStore.UserStoreIterator";"Map";"List";"deletion";0.8
"Freecs";"freecs.core.UserManager.UserStore.UserStoreIterator";"Map";"List";"other";1.0
"Freecs";"freecs.core.UserManager.UserStore.UserStoreIterator";"Map";"Set";"deletion";0.8
"Freecs";"freecs.core.UserManager.UserStore.UserStoreIterator";"Map";"Set";"other";1.0
"Freecs";"freecs.auth.AbstractAuthenticator";"List";"Map";"insertion";1.0
"Freecs";"freecs.auth.AbstractAuthenticator";"List";"Set";"insertion";0.75
"Freecs";"freecs.auth.AbstractAuthenticator";"Map";"List";"insertion";1.0
"Freecs";"freecs.auth.AbstractAuthenticator";"Map";"Set";"insertion";1.0
"Freecs";"freecs.util.TrafficMonitor";"Map";"List";"access";0.75
"Freecs";"freecs.util.TrafficMonitor";"Map";"List";"deletion";0.8
"Freecs";"freecs.util.TrafficMonitor";"Map";"List";"insertion";1.0
"Freecs";"freecs.util.TrafficMonitor";"Map";"Set";"access";1.0
"Freecs";"freecs.util.TrafficMonitor";"Map";"Set";"deletion";0.8
"Freecs";"freecs.util.TrafficMonitor";"Map";"Set";"insertion";1.0
"Freecs";"freecs.util.GroupUserList";"List";"Map";"access";0.75
"Freecs";"freecs.util.GroupUserList";"List";"Map";"insertion";1.0
"Freecs";"freecs.util.GroupUserList";"List";"Map";"other";0.93
"Freecs";"freecs.util.GroupUserList";"List";"Set";"access";1.0
"Freecs";"freecs.util.GroupUserList";"List";"Set";"insertion";0.75
"Freecs";"freecs.util.GroupUserList";"List";"Set";"other";0.83
"Freecs";"freecs.util.GroupUserList";"Map";"List";"access";0.75
"Freecs";"freecs.util.GroupUserList";"Map";"List";"insertion";1.0
"Freecs";"freecs.util.GroupUserList";"Map";"List";"other";1.0
"Freecs";"freecs.util.GroupUserList";"Map";"Set";"access";1.0
"Freecs";"freecs.util.GroupUserList";"Map";"Set";"insertion";1.0
"Freecs";"freecs.util.GroupUserList";"Map";"Set";"other";1.0
"Freecs";"freecs.util.GroupUserList";"Set";"List";"insertion";0.75
"Freecs";"freecs.util.GroupUserList";"Set";"List";"other";0.92
"Freecs";"freecs.util.GroupUserList";"Set";"Map";"insertion";1.0
"Freecs";"freecs.util.GroupUserList";"Set";"Map";"other";1.0
"Freecs";"freecs.Server";"List";"Map";"search";1.0
"Freecs";"freecs.Server";"List";"Map";"deletion";0.8
"Freecs";"freecs.Server";"List";"Map";"insertion";1.0
"Freecs";"freecs.Server";"List";"Map";"other";1.0
"Freecs";"freecs.Server";"List";"Set";"search";0.75
"Freecs";"freecs.Server";"List";"Set";"deletion";0.6
"Freecs";"freecs.Server";"List";"Set";"insertion";0.5
"Freecs";"freecs.Server";"List";"Set";"other";0.83
"Freecs";"freecs.Server";"Map";"List";"search";1.0
"Freecs";"freecs.Server";"Map";"List";"access";0.75
"Freecs";"freecs.Server";"Map";"List";"deletion";0.8
"Freecs";"freecs.Server";"Map";"List";"insertion";1.0
"Freecs";"freecs.Server";"Map";"List";"other";0.93
"Freecs";"freecs.Server";"Map";"Set";"search";1.0
"Freecs";"freecs.Server";"Map";"Set";"access";1.0
"Freecs";"freecs.Server";"Map";"Set";"deletion";0.8
"Freecs";"freecs.Server";"Map";"Set";"insertion";1.0
"Freecs";"freecs.Server";"Map";"Set";"other";0.92
"Freecs";"freecs.Server";"Set";"List";"other";0.92
"Freecs";"freecs.Server";"Set";"Map";"other";1.0
"Freecs";"freecs.commands.CmdKickHard";"List";"Map";"access";0.75
"Freecs";"freecs.commands.CmdKickHard";"List";"Map";"other";0.93
"Freecs";"freecs.commands.CmdKickHard";"List";"Set";"access";1.0
"Freecs";"freecs.commands.CmdKickHard";"List";"Set";"other";0.75
"Freecs";"freecs.commands.CmdLockChangeForeignAction";"List";"Map";"access";0.75
"Freecs";"freecs.commands.CmdLockChangeForeignAction";"List";"Map";"other";0.93
"Freecs";"freecs.commands.CmdLockChangeForeignAction";"List";"Set";"access";1.0
"Freecs";"freecs.commands.CmdLockChangeForeignAction";"List";"Set";"other";0.75
"Freecs";"freecs.util.FadeColor";"List";"Map";"insertion";1.0
"Freecs";"freecs.util.FadeColor";"List";"Map";"other";1.0
"Freecs";"freecs.util.FadeColor";"List";"Set";"insertion";0.75
"Freecs";"freecs.util.FadeColor";"List";"Set";"other";0.92
"Freecs";"freecs.commands.AbstractCommand";"List";"Map";"search";1.0
"Freecs";"freecs.commands.AbstractCommand";"List";"Map";"access";0.75
"Freecs";"freecs.commands.AbstractCommand";"List";"Map";"insertion";1.0
"Freecs";"freecs.commands.AbstractCommand";"List";"Map";"other";0.93
"Freecs";"freecs.commands.AbstractCommand";"List";"Set";"search";0.75
"Freecs";"freecs.commands.AbstractCommand";"List";"Set";"access";1.0
"Freecs";"freecs.commands.AbstractCommand";"List";"Set";"insertion";0.75
"Freecs";"freecs.commands.AbstractCommand";"List";"Set";"other";0.83
"Freecs";"freecs.util.HtmlEncoder";"List";"Map";"deletion";1.0
"Freecs";"freecs.util.HtmlEncoder";"List";"Map";"insertion";1.0
"Freecs";"freecs.util.HtmlEncoder";"List";"Map";"other";0.93
"Freecs";"freecs.util.HtmlEncoder";"List";"Set";"deletion";1.0
"Freecs";"freecs.util.HtmlEncoder";"List";"Set";"insertion";1.0
"Freecs";"freecs.util.HtmlEncoder";"List";"Set";"other";0.92
"Freecs";"freecs.util.HtmlEncoder";"Set";"List";"search";0.75
"Freecs";"freecs.util.HtmlEncoder";"Set";"Map";"search";1.0
"Freecs";"freecs.auth.sqlConnectionPool.PoolElement";"List";"Map";"search";1.0
"Freecs";"freecs.auth.sqlConnectionPool.PoolElement";"List";"Map";"other";1.0
"Freecs";"freecs.auth.sqlConnectionPool.PoolElement";"List";"Set";"search";1.0
"Freecs";"freecs.auth.sqlConnectionPool.PoolElement";"List";"Set";"other";0.92
"Freecs";"freecs.commands.CmdShowIp";"List";"Map";"other";0.93
"Freecs";"freecs.commands.CmdShowIp";"List";"Set";"other";0.83
"Freecs";"freecs.core.Membership";"List";"Map";"search";1.0
"Freecs";"freecs.core.Membership";"List";"Map";"deletion";0.8
"Freecs";"freecs.core.Membership";"List";"Map";"insertion";1.0
"Freecs";"freecs.core.Membership";"List";"Map";"other";0.93
"Freecs";"freecs.core.Membership";"List";"Set";"search";0.75
"Freecs";"freecs.core.Membership";"List";"Set";"deletion";0.8
"Freecs";"freecs.core.Membership";"List";"Set";"insertion";0.75
"Freecs";"freecs.core.Membership";"List";"Set";"other";0.75
"Freecs";"freecs.core.Membership";"Map";"List";"other";1.0
"Freecs";"freecs.core.Membership";"Map";"Set";"other";1.0
"Freecs";"freecs.core.Membership";"Set";"List";"other";0.92
"Freecs";"freecs.core.Membership";"Set";"Map";"other";1.0
"Freecs";"freecs.commands.CmdKick";"List";"Map";"deletion";0.8
"Freecs";"freecs.commands.CmdKick";"List";"Map";"other";0.93
"Freecs";"freecs.commands.CmdKick";"List";"Set";"deletion";0.8
"Freecs";"freecs.commands.CmdKick";"List";"Set";"other";0.75
"Freecs";"freecs.commands.CmdBan";"List";"Map";"search";1.0
"Freecs";"freecs.commands.CmdBan";"List";"Map";"other";0.93
"Freecs";"freecs.commands.CmdBan";"List";"Set";"search";0.75
"Freecs";"freecs.commands.CmdBan";"List";"Set";"other";0.75
"Freecs";"freecs.commands.CmdUnPunish";"List";"Map";"other";0.93
"Freecs";"freecs.commands.CmdUnPunish";"List";"Set";"other";0.75
"Freecs";"freecs.commands.CmdListOnlineFriends";"List";"Map";"insertion";1.0
"Freecs";"freecs.commands.CmdListOnlineFriends";"List";"Map";"other";0.93
"Freecs";"freecs.commands.CmdListOnlineFriends";"List";"Set";"insertion";0.75
"Freecs";"freecs.commands.CmdListOnlineFriends";"List";"Set";"other";0.92
"Freecs";"freecs.external.StateRequestHandler";"Map";"List";"other";0.93
"Freecs";"freecs.external.StateRequestHandler";"Map";"Set";"other";0.92
"Freecs";"freecs.core.CentralSelector.KeepAliveTimeoutChecker";"Set";"List";"other";0.92
"Freecs";"freecs.core.CentralSelector.KeepAliveTimeoutChecker";"Set";"Map";"other";1.0
"Freecs";"freecs.core.Responder";"Set";"List";"other";0.83
"Freecs";"freecs.core.Responder";"Set";"Map";"other";0.92
"Freecs";"freecs.commands.CmdSu";"List";"Map";"access";0.75
"Freecs";"freecs.commands.CmdSu";"List";"Map";"other";0.93
"Freecs";"freecs.commands.CmdSu";"List";"Set";"access";1.0
"Freecs";"freecs.commands.CmdSu";"List";"Set";"other";0.75
"Freecs";"freecs.core.CentralSelector";"Set";"List";"other";0.75
"Freecs";"freecs.core.CentralSelector";"Set";"Map";"other";0.85
