"project";"class";"from";"to";"category";"metric"
"JGrapht";"org.jgrapht.ext.IntegerEdgeNameProvider";"Map";"List";"access";0.75
"JGrapht";"org.jgrapht.ext.IntegerEdgeNameProvider";"Map";"List";"deletion";0.8
"JGrapht";"org.jgrapht.ext.IntegerEdgeNameProvider";"Map";"List";"insertion";1.0
"JGrapht";"org.jgrapht.ext.IntegerEdgeNameProvider";"Map";"Set";"access";1.0
"JGrapht";"org.jgrapht.ext.IntegerEdgeNameProvider";"Map";"Set";"deletion";0.8
"JGrapht";"org.jgrapht.ext.IntegerEdgeNameProvider";"Map";"Set";"insertion";1.0
"JGrapht";"org.jgrapht.experimental.GraphReader";"List";"Map";"access";0.75
"JGrapht";"org.jgrapht.experimental.GraphReader";"List";"Map";"insertion";1.0
"JGrapht";"org.jgrapht.experimental.GraphReader";"List";"Map";"other";0.93
"JGrapht";"org.jgrapht.experimental.GraphReader";"List";"Set";"access";1.0
"JGrapht";"org.jgrapht.experimental.GraphReader";"List";"Set";"insertion";0.75
"JGrapht";"org.jgrapht.experimental.GraphReader";"List";"Set";"other";0.92
"JGrapht";"org.jgrapht.experimental.GraphReader";"Map";"List";"access";0.75
"JGrapht";"org.jgrapht.experimental.GraphReader";"Map";"List";"insertion";1.0
"JGrapht";"org.jgrapht.experimental.GraphReader";"Map";"Set";"access";1.0
"JGrapht";"org.jgrapht.experimental.GraphReader";"Map";"Set";"insertion";1.0
"JGrapht";"org.jgrapht.experimental.isomorphism.PermutationIsomorphismInspector";"Set";"List";"other";0.83
"JGrapht";"org.jgrapht.experimental.isomorphism.PermutationIsomorphismInspector";"Set";"Map";"other";0.92
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph";"Map";"List";"search";1.0
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph";"Map";"List";"access";0.75
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph";"Map";"List";"deletion";0.8
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph";"Map";"List";"insertion";1.0
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph";"Map";"List";"other";1.0
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph";"Map";"Set";"search";1.0
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph";"Map";"Set";"access";1.0
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph";"Map";"Set";"deletion";0.8
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph";"Map";"Set";"insertion";1.0
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph";"Map";"Set";"other";1.0
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph";"Set";"List";"search";0.75
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph";"Set";"List";"deletion";0.8
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph";"Set";"Map";"search";1.0
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph";"Set";"Map";"deletion";0.8
"JGrapht";"org.jgrapht.alg.NeighborIndex.Neighbors";"List";"Map";"insertion";1.0
"JGrapht";"org.jgrapht.alg.NeighborIndex.Neighbors";"List";"Set";"insertion";0.75
"JGrapht";"org.jgrapht.alg.NeighborIndex.Neighbors";"Map";"List";"access";0.75
"JGrapht";"org.jgrapht.alg.NeighborIndex.Neighbors";"Map";"List";"deletion";0.8
"JGrapht";"org.jgrapht.alg.NeighborIndex.Neighbors";"Map";"List";"insertion";1.0
"JGrapht";"org.jgrapht.alg.NeighborIndex.Neighbors";"Map";"List";"other";1.0
"JGrapht";"org.jgrapht.alg.NeighborIndex.Neighbors";"Map";"Set";"access";1.0
"JGrapht";"org.jgrapht.alg.NeighborIndex.Neighbors";"Map";"Set";"deletion";0.8
"JGrapht";"org.jgrapht.alg.NeighborIndex.Neighbors";"Map";"Set";"insertion";1.0
"JGrapht";"org.jgrapht.alg.NeighborIndex.Neighbors";"Map";"Set";"other";1.0
"JGrapht";"org.jgrapht.alg.EdmondsKarpMaximumFlow";"List";"Map";"access";0.75
"JGrapht";"org.jgrapht.alg.EdmondsKarpMaximumFlow";"List";"Map";"insertion";1.0
"JGrapht";"org.jgrapht.alg.EdmondsKarpMaximumFlow";"List";"Set";"access";1.0
"JGrapht";"org.jgrapht.alg.EdmondsKarpMaximumFlow";"List";"Set";"insertion";0.75
"JGrapht";"org.jgrapht.alg.EdmondsKarpMaximumFlow";"Map";"List";"access";0.75
"JGrapht";"org.jgrapht.alg.EdmondsKarpMaximumFlow";"Map";"List";"insertion";1.0
"JGrapht";"org.jgrapht.alg.EdmondsKarpMaximumFlow";"Map";"Set";"access";1.0
"JGrapht";"org.jgrapht.alg.EdmondsKarpMaximumFlow";"Map";"Set";"insertion";1.0
"JGrapht";"org.jgrapht.alg.EdmondsKarpMaximumFlow";"Set";"List";"other";0.83
"JGrapht";"org.jgrapht.alg.EdmondsKarpMaximumFlow";"Set";"Map";"other";0.92
"JGrapht";"org.jgrapht.graph.UndirectedGraphUnion";"Set";"List";"other";0.92
"JGrapht";"org.jgrapht.graph.UndirectedGraphUnion";"Set";"Map";"other";0.92
"JGrapht";"org.jgrapht.graph.MaskVertexSet.MaskVertexSetNextElementFunctor";"Set";"List";"other";0.92
"JGrapht";"org.jgrapht.graph.MaskVertexSet.MaskVertexSetNextElementFunctor";"Set";"Map";"other";1.0
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"List";"Map";"access";0.75
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"List";"Map";"deletion";0.8
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"List";"Map";"insertion";1.0
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"List";"Map";"other";0.93
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"List";"Set";"access";1.0
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"List";"Set";"deletion";0.8
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"List";"Set";"insertion";0.75
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"List";"Set";"other";0.92
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"Map";"List";"access";0.75
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"Map";"List";"insertion";1.0
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"Map";"List";"other";1.0
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"Map";"Set";"access";1.0
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"Map";"Set";"insertion";1.0
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"Map";"Set";"other";1.0
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"Set";"List";"search";0.75
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"Set";"List";"deletion";0.8
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"Set";"List";"insertion";0.75
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"Set";"List";"other";0.83
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"Set";"Map";"search";1.0
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"Set";"Map";"deletion";0.8
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"Set";"Map";"insertion";1.0
"JGrapht";"org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics";"Set";"Map";"other";0.92
"JGrapht";"org.jgrapht.generate.WheelGraphGenerator";"Map";"List";"insertion";1.0
"JGrapht";"org.jgrapht.generate.WheelGraphGenerator";"Map";"Set";"insertion";1.0
"JGrapht";"org.jgrapht.experimental.touchgraph.TouchgraphConverter";"List";"Map";"access";0.75
"JGrapht";"org.jgrapht.experimental.touchgraph.TouchgraphConverter";"List";"Map";"other";0.93
"JGrapht";"org.jgrapht.experimental.touchgraph.TouchgraphConverter";"List";"Set";"access";1.0
"JGrapht";"org.jgrapht.experimental.touchgraph.TouchgraphConverter";"List";"Set";"other";0.92
"JGrapht";"org.jgrapht.experimental.alg.color.BrownBacktrackColoring";"List";"Map";"access";0.75
"JGrapht";"org.jgrapht.experimental.alg.color.BrownBacktrackColoring";"List";"Map";"other";0.93
"JGrapht";"org.jgrapht.experimental.alg.color.BrownBacktrackColoring";"List";"Set";"access";1.0
"JGrapht";"org.jgrapht.experimental.alg.color.BrownBacktrackColoring";"List";"Set";"other";0.92
"JGrapht";"org.jgrapht.experimental.alg.color.BrownBacktrackColoring";"Map";"List";"insertion";1.0
"JGrapht";"org.jgrapht.experimental.alg.color.BrownBacktrackColoring";"Map";"Set";"insertion";1.0
"JGrapht";"org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector";"Set";"List";"deletion";0.8
"JGrapht";"org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector";"Set";"List";"insertion";0.75
"JGrapht";"org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector";"Set";"List";"other";0.92
"JGrapht";"org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector";"Set";"Map";"deletion";0.8
"JGrapht";"org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector";"Set";"Map";"insertion";1.0
"JGrapht";"org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector";"Set";"Map";"other";0.92
"JGrapht";"org.jgrapht.experimental.GraphSquare";"List";"Map";"access";0.75
"JGrapht";"org.jgrapht.experimental.GraphSquare";"List";"Map";"other";0.93
"JGrapht";"org.jgrapht.experimental.GraphSquare";"List";"Set";"access";1.0
"JGrapht";"org.jgrapht.experimental.GraphSquare";"List";"Set";"other";0.92
"JGrapht";"org.jgrapht.generate.RandomGraphGenerator";"Map";"List";"insertion";1.0
"JGrapht";"org.jgrapht.generate.RandomGraphGenerator";"Map";"Set";"insertion";1.0
"JGrapht";"org.jgrapht.experimental.RandomGraphHelper";"List";"Map";"access";0.75
"JGrapht";"org.jgrapht.experimental.RandomGraphHelper";"List";"Map";"other";0.93
"JGrapht";"org.jgrapht.experimental.RandomGraphHelper";"List";"Set";"access";1.0
"JGrapht";"org.jgrapht.experimental.RandomGraphHelper";"List";"Set";"other";0.92
"JGrapht";"org.jgrapht.alg.NeighborIndex";"Map";"List";"search";1.0
"JGrapht";"org.jgrapht.alg.NeighborIndex";"Map";"List";"access";0.75
"JGrapht";"org.jgrapht.alg.NeighborIndex";"Map";"List";"deletion";0.8
"JGrapht";"org.jgrapht.alg.NeighborIndex";"Map";"List";"insertion";1.0
"JGrapht";"org.jgrapht.alg.NeighborIndex";"Map";"List";"other";1.0
"JGrapht";"org.jgrapht.alg.NeighborIndex";"Map";"Set";"search";1.0
"JGrapht";"org.jgrapht.alg.NeighborIndex";"Map";"Set";"access";1.0
"JGrapht";"org.jgrapht.alg.NeighborIndex";"Map";"Set";"deletion";0.8
"JGrapht";"org.jgrapht.alg.NeighborIndex";"Map";"Set";"insertion";1.0
"JGrapht";"org.jgrapht.alg.NeighborIndex";"Map";"Set";"other";1.0
"JGrapht";"org.jgrapht.alg.BellmanFordIterator";"List";"Map";"access";0.75
"JGrapht";"org.jgrapht.alg.BellmanFordIterator";"List";"Map";"insertion";1.0
"JGrapht";"org.jgrapht.alg.BellmanFordIterator";"List";"Map";"other";0.87
"JGrapht";"org.jgrapht.alg.BellmanFordIterator";"List";"Set";"access";1.0
"JGrapht";"org.jgrapht.alg.BellmanFordIterator";"List";"Set";"insertion";0.75
"JGrapht";"org.jgrapht.alg.BellmanFordIterator";"List";"Set";"other";0.83
"JGrapht";"org.jgrapht.alg.BellmanFordIterator";"Map";"List";"search";1.0
"JGrapht";"org.jgrapht.alg.BellmanFordIterator";"Map";"List";"access";0.75
"JGrapht";"org.jgrapht.alg.BellmanFordIterator";"Map";"List";"insertion";1.0
"JGrapht";"org.jgrapht.alg.BellmanFordIterator";"Map";"Set";"search";1.0
"JGrapht";"org.jgrapht.alg.BellmanFordIterator";"Map";"Set";"access";1.0
"JGrapht";"org.jgrapht.alg.BellmanFordIterator";"Map";"Set";"insertion";1.0
"JGrapht";"org.jgrapht.alg.BellmanFordIterator";"Set";"List";"other";0.92
"JGrapht";"org.jgrapht.alg.BellmanFordIterator";"Set";"Map";"other";1.0
"JGrapht";"org.jgrapht.generate.CompleteBipartiteGraphGenerator";"Set";"List";"insertion";0.75
"JGrapht";"org.jgrapht.generate.CompleteBipartiteGraphGenerator";"Set";"List";"other";0.92
"JGrapht";"org.jgrapht.generate.CompleteBipartiteGraphGenerator";"Set";"Map";"insertion";1.0
"JGrapht";"org.jgrapht.generate.CompleteBipartiteGraphGenerator";"Set";"Map";"other";1.0
"JGrapht";"org.jgrapht.experimental.isomorphism.IsomorphismRelation";"List";"Map";"access";0.75
"JGrapht";"org.jgrapht.experimental.isomorphism.IsomorphismRelation";"List";"Map";"other";0.93
"JGrapht";"org.jgrapht.experimental.isomorphism.IsomorphismRelation";"List";"Set";"access";1.0
"JGrapht";"org.jgrapht.experimental.isomorphism.IsomorphismRelation";"List";"Set";"other";0.92
"JGrapht";"org.jgrapht.experimental.isomorphism.IsomorphismRelation";"Map";"List";"insertion";1.0
"JGrapht";"org.jgrapht.experimental.isomorphism.IsomorphismRelation";"Map";"Set";"insertion";1.0
"JGrapht";"org.jgrapht.traverse.TopologicalOrderIterator";"Map";"List";"access";0.75
"JGrapht";"org.jgrapht.traverse.TopologicalOrderIterator";"Map";"List";"insertion";1.0
"JGrapht";"org.jgrapht.traverse.TopologicalOrderIterator";"Map";"Set";"access";1.0
"JGrapht";"org.jgrapht.traverse.TopologicalOrderIterator";"Map";"Set";"insertion";1.0
"JGrapht";"org.jgrapht.traverse.TopologicalOrderIterator";"Set";"List";"other";0.83
"JGrapht";"org.jgrapht.traverse.TopologicalOrderIterator";"Set";"Map";"other";0.92
"JGrapht";"org.jgrapht.alg.KShortestPaths";"List";"Map";"insertion";1.0
"JGrapht";"org.jgrapht.alg.KShortestPaths";"List";"Set";"insertion";0.75
"JGrapht";"org.jgrapht.alg.KShortestPaths";"Set";"List";"search";0.75
"JGrapht";"org.jgrapht.alg.KShortestPaths";"Set";"List";"other";0.92
"JGrapht";"org.jgrapht.alg.KShortestPaths";"Set";"Map";"search";1.0
"JGrapht";"org.jgrapht.alg.KShortestPaths";"Set";"Map";"other";0.92
"JGrapht";"org.jgrapht.alg.BellmanFordShortestPath";"Set";"List";"other";0.92
"JGrapht";"org.jgrapht.alg.BellmanFordShortestPath";"Set";"Map";"other";0.92
"JGrapht";"org.jgrapht.alg.TransitiveClosure";"Set";"List";"deletion";0.8
"JGrapht";"org.jgrapht.alg.TransitiveClosure";"Set";"List";"insertion";0.75
"JGrapht";"org.jgrapht.alg.TransitiveClosure";"Set";"List";"other";0.92
"JGrapht";"org.jgrapht.alg.TransitiveClosure";"Set";"Map";"deletion";0.8
"JGrapht";"org.jgrapht.alg.TransitiveClosure";"Set";"Map";"insertion";1.0
"JGrapht";"org.jgrapht.alg.TransitiveClosure";"Set";"Map";"other";0.92
"JGrapht";"org.jgrapht.graph.DirectedGraphUnion";"Set";"List";"insertion";0.75
"JGrapht";"org.jgrapht.graph.DirectedGraphUnion";"Set";"List";"other";0.92
"JGrapht";"org.jgrapht.graph.DirectedGraphUnion";"Set";"Map";"insertion";1.0
"JGrapht";"org.jgrapht.graph.DirectedGraphUnion";"Set";"Map";"other";0.92
"JGrapht";"org.jgrapht.generate.LinearGraphGenerator";"Map";"List";"insertion";1.0
