"project";"class";"from";"to";"category";"metric"
"Jedit";"org.gjt.sp.jedit.gui.ErrorListDialog.ErrorEntry";"List";"Map";"other";0.93
"Jedit";"org.gjt.sp.jedit.gui.ErrorListDialog.ErrorEntry";"List";"Set";"other";0.92
"Jedit";"org.gjt.sp.jedit.input.AbstractInputHandler";"Map";"List";"access";0.75
"Jedit";"org.gjt.sp.jedit.input.AbstractInputHandler";"Map";"List";"deletion";0.6
"Jedit";"org.gjt.sp.jedit.input.AbstractInputHandler";"Map";"List";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.input.AbstractInputHandler";"Map";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.input.AbstractInputHandler";"Map";"Set";"deletion";0.6
"Jedit";"org.gjt.sp.jedit.input.AbstractInputHandler";"Map";"Set";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.Buffer";"List";"Map";"access";0.75
"Jedit";"org.gjt.sp.jedit.Buffer";"List";"Map";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.Buffer";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.Buffer";"List";"Map";"other";0.93
"Jedit";"org.gjt.sp.jedit.Buffer";"List";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.Buffer";"List";"Set";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.Buffer";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.Buffer";"List";"Set";"other";0.92
"Jedit";"org.gjt.sp.jedit.options.WindowTableModel";"List";"Map";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.options.WindowTableModel";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.options.WindowTableModel";"List";"Map";"other";0.93
"Jedit";"org.gjt.sp.jedit.options.WindowTableModel";"List";"Set";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.options.WindowTableModel";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.options.WindowTableModel";"List";"Set";"other";0.92
"Jedit";"org.gjt.sp.jedit.options.WindowTableModel";"Map";"List";"access";0.75
"Jedit";"org.gjt.sp.jedit.options.WindowTableModel";"Map";"List";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.options.WindowTableModel";"Map";"List";"other";1.0
"Jedit";"org.gjt.sp.jedit.options.WindowTableModel";"Map";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.options.WindowTableModel";"Map";"Set";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.options.WindowTableModel";"Map";"Set";"other";1.0
"Jedit";"org.gjt.sp.jedit.textarea.Selection.Rect";"List";"Map";"access";0.75
"Jedit";"org.gjt.sp.jedit.textarea.Selection.Rect";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.textarea.Selection.Rect";"List";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.textarea.Selection.Rect";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.textarea.ExtensionManager";"List";"Map";"access";0.75
"Jedit";"org.gjt.sp.jedit.textarea.ExtensionManager";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.textarea.ExtensionManager";"List";"Map";"other";0.93
"Jedit";"org.gjt.sp.jedit.textarea.ExtensionManager";"List";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.textarea.ExtensionManager";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.textarea.ExtensionManager";"List";"Set";"other";0.83
"Jedit";"org.gjt.sp.jedit.Macros";"List";"Map";"access";0.75
"Jedit";"org.gjt.sp.jedit.Macros";"List";"Map";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.Macros";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.Macros";"List";"Map";"other";0.93
"Jedit";"org.gjt.sp.jedit.Macros";"List";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.Macros";"List";"Set";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.Macros";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.Macros";"List";"Set";"other";0.83
"Jedit";"org.gjt.sp.jedit.Macros";"Map";"List";"access";0.75
"Jedit";"org.gjt.sp.jedit.Macros";"Map";"List";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.Macros";"Map";"List";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.Macros";"Map";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.Macros";"Map";"Set";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.Macros";"Map";"Set";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.browser.BrowserView";"Set";"List";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.browser.BrowserView";"Set";"Map";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.gui.DefaultInputHandler";"Map";"List";"access";0.75
"Jedit";"org.gjt.sp.jedit.gui.DefaultInputHandler";"Map";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.JEditActionContext";"List";"Map";"access";0.75
"Jedit";"org.gjt.sp.jedit.JEditActionContext";"List";"Map";"other";0.87
"Jedit";"org.gjt.sp.jedit.JEditActionContext";"List";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.JEditActionContext";"List";"Set";"other";0.75
"Jedit";"org.gjt.sp.jedit.JEditActionContext";"Map";"List";"search";1.0
"Jedit";"org.gjt.sp.jedit.JEditActionContext";"Map";"List";"access";0.75
"Jedit";"org.gjt.sp.jedit.JEditActionContext";"Map";"List";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.JEditActionContext";"Map";"List";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.JEditActionContext";"Map";"Set";"search";1.0
"Jedit";"org.gjt.sp.jedit.JEditActionContext";"Map";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.JEditActionContext";"Map";"Set";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.JEditActionContext";"Map";"Set";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"List";"Map";"access";0.75
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"List";"Map";"other";0.87
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"List";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"List";"Set";"other";0.75
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"Map";"List";"access";0.75
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"Map";"List";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"Map";"List";"other";1.0
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.FindOrphan";"Map";"Set";"access";1.0
