"project";"class";"from";"to";"category";"metric"
"Jext";"org.jext.project.DefaultProjectManager";"List";"Map";"search";1.0
"Jext";"org.jext.project.DefaultProjectManager";"List";"Map";"access";0.75
"Jext";"org.jext.project.DefaultProjectManager";"List";"Map";"deletion";0.8
"Jext";"org.jext.project.DefaultProjectManager";"List";"Map";"insertion";1.0
"Jext";"org.jext.project.DefaultProjectManager";"List";"Map";"other";0.93
"Jext";"org.jext.project.DefaultProjectManager";"List";"Set";"search";1.0
"Jext";"org.jext.project.DefaultProjectManager";"List";"Set";"access";1.0
"Jext";"org.jext.project.DefaultProjectManager";"List";"Set";"deletion";0.6
"Jext";"org.jext.project.DefaultProjectManager";"List";"Set";"insertion";0.5
"Jext";"org.jext.project.DefaultProjectManager";"List";"Set";"other";0.83
"Jext";"org.jext.project.DefaultProjectManager";"Map";"List";"access";0.75
"Jext";"org.jext.project.DefaultProjectManager";"Map";"List";"deletion";0.6
"Jext";"org.jext.project.DefaultProjectManager";"Map";"List";"insertion";1.0
"Jext";"org.jext.project.DefaultProjectManager";"Map";"Set";"access";1.0
"Jext";"org.jext.project.DefaultProjectManager";"Map";"Set";"deletion";0.6
"Jext";"org.jext.project.DefaultProjectManager";"Map";"Set";"insertion";1.0
"Jext";"org.jext.dawn.stack.DepthFunction";"List";"Map";"other";0.93
"Jext";"org.jext.dawn.stack.DepthFunction";"List";"Set";"other";0.92
"Jext";"org.jext.toolbar.JextToolBar";"List";"Map";"access";0.75
"Jext";"org.jext.toolbar.JextToolBar";"List";"Map";"other";0.93
"Jext";"org.jext.toolbar.JextToolBar";"List";"Set";"access";1.0
"Jext";"org.jext.toolbar.JextToolBar";"List";"Set";"other";0.92
"Jext";"org.jext.GUIUtilities";"Map";"List";"access";0.75
"Jext";"org.jext.GUIUtilities";"Map";"List";"insertion";1.0
"Jext";"org.jext.GUIUtilities";"Map";"Set";"access";1.0
"Jext";"org.jext.GUIUtilities";"Map";"Set";"insertion";1.0
"Jext";"org.jext.dawn.array.LengthFunction";"List";"Map";"other";0.93
"Jext";"org.jext.dawn.array.LengthFunction";"List";"Set";"other";0.92
"Jext";"org.jext.options.UIOptions";"List";"Map";"access";0.75
"Jext";"org.jext.options.UIOptions";"List";"Map";"other";0.93
"Jext";"org.jext.options.UIOptions";"List";"Set";"access";1.0
"Jext";"org.jext.options.UIOptions";"List";"Set";"other";0.92
"Jext";"org.jext.options.UIOptions";"Map";"List";"other";0.93
"Jext";"org.jext.options.UIOptions";"Map";"Set";"other";0.92
"Jext";"org.gjt.sp.jedit.textarea.DefaultInputHandler";"Map";"List";"access";0.75
