"project";"class";"from";"to";"category";"metric"
"Marauroa";"marauroa.common.game.SlotOwner";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.common.game.SlotOwner";"List";"Map";"other";1.0
"Marauroa";"marauroa.common.game.SlotOwner";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.common.game.SlotOwner";"List";"Set";"other";0.0
"Marauroa";"marauroa.common.net.Decoder";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.common.net.Decoder";"List";"Map";"other";0.0
"Marauroa";"marauroa.common.net.Decoder";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.common.net.Decoder";"List";"Set";"other";0.0
"Marauroa";"marauroa.common.net.Decoder";"Map";"List";"access";0.0
"Marauroa";"marauroa.common.net.Decoder";"Map";"List";"deletion";0.0
"Marauroa";"marauroa.common.net.Decoder";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.common.net.Decoder";"Map";"Set";"access";1.0
"Marauroa";"marauroa.common.net.Decoder";"Map";"Set";"deletion";0.0
"Marauroa";"marauroa.common.net.Decoder";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.server.game.db.RPZoneDAO";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.server.game.db.RPZoneDAO";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.server.game.db.LoginSeedDAO";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.server.game.db.LoginSeedDAO";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.server.game.Statistics.Variables";"Map";"List";"access";0.0
"Marauroa";"marauroa.server.game.Statistics.Variables";"Map";"List";"deletion";0.0
"Marauroa";"marauroa.server.game.Statistics.Variables";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.server.game.Statistics.Variables";"Map";"List";"other";1.0
"Marauroa";"marauroa.server.game.Statistics.Variables";"Map";"Set";"access";1.0
"Marauroa";"marauroa.server.game.Statistics.Variables";"Map";"Set";"deletion";0.0
"Marauroa";"marauroa.server.game.Statistics.Variables";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.server.game.Statistics.Variables";"Map";"Set";"other";1.0
"Marauroa";"marauroa.server.game.Statistics.Variables";"Set";"List";"other";0.0
"Marauroa";"marauroa.server.game.Statistics.Variables";"Set";"Map";"other";1.0
"Marauroa";"marauroa.common.net.message.MessageS2CPerception.CachedCompressedPerception";"Map";"List";"search";1.0
"Marauroa";"marauroa.common.net.message.MessageS2CPerception.CachedCompressedPerception";"Map";"List";"access";0.0
"Marauroa";"marauroa.common.net.message.MessageS2CPerception.CachedCompressedPerception";"Map";"List";"deletion";0.0
"Marauroa";"marauroa.common.net.message.MessageS2CPerception.CachedCompressedPerception";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.common.net.message.MessageS2CPerception.CachedCompressedPerception";"Map";"Set";"search";1.0
"Marauroa";"marauroa.common.net.message.MessageS2CPerception.CachedCompressedPerception";"Map";"Set";"access";1.0
"Marauroa";"marauroa.common.net.message.MessageS2CPerception.CachedCompressedPerception";"Map";"Set";"deletion";0.0
"Marauroa";"marauroa.common.net.message.MessageS2CPerception.CachedCompressedPerception";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.server.db.command.DBCommandQueue";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.server.db.command.DBCommandQueue";"List";"Map";"other";1.0
"Marauroa";"marauroa.server.db.command.DBCommandQueue";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.server.db.command.DBCommandQueue";"List";"Set";"other";0.0
"Marauroa";"marauroa.common.Configuration";"Map";"List";"search";1.0
"Marauroa";"marauroa.common.Configuration";"Map";"List";"deletion";0.0
"Marauroa";"marauroa.common.Configuration";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.common.Configuration";"Map";"Set";"search";1.0
"Marauroa";"marauroa.common.Configuration";"Map";"Set";"deletion";0.0
"Marauroa";"marauroa.common.Configuration";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.common.game.Attributes";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.common.game.Attributes";"List";"Map";"other";1.0
"Marauroa";"marauroa.common.game.Attributes";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.common.game.Attributes";"List";"Set";"other";0.0
"Marauroa";"marauroa.common.game.Attributes";"Map";"List";"search";1.0
"Marauroa";"marauroa.common.game.Attributes";"Map";"List";"access";0.0
"Marauroa";"marauroa.common.game.Attributes";"Map";"List";"deletion";0.0
"Marauroa";"marauroa.common.game.Attributes";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.common.game.Attributes";"Map";"List";"other";0.8
"Marauroa";"marauroa.common.game.Attributes";"Map";"Set";"search";1.0
"Marauroa";"marauroa.common.game.Attributes";"Map";"Set";"access";1.0
"Marauroa";"marauroa.common.game.Attributes";"Map";"Set";"deletion";0.0
"Marauroa";"marauroa.common.game.Attributes";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.common.game.Attributes";"Map";"Set";"other";0.77
"Marauroa";"marauroa.common.game.Attributes";"Set";"List";"other";0.0
"Marauroa";"marauroa.common.game.Attributes";"Set";"Map";"other";1.0
"Marauroa";"marauroa.server.game.db.LoginEventDAO";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.server.game.db.LoginEventDAO";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.server.game.db.LoginEventDAO";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.server.game.db.LoginEventDAO";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.server.game.rp.RPServerManager";"List";"Map";"deletion";0.0
"Marauroa";"marauroa.server.game.rp.RPServerManager";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.server.game.rp.RPServerManager";"List";"Set";"deletion";0.0
"Marauroa";"marauroa.server.game.rp.RPServerManager";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.server.game.rp.RPServerManager";"Map";"List";"deletion";0.0
"Marauroa";"marauroa.server.game.rp.RPServerManager";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.server.game.rp.RPServerManager";"Map";"List";"other";1.0
"Marauroa";"marauroa.server.game.rp.RPServerManager";"Map";"Set";"deletion";0.0
"Marauroa";"marauroa.server.game.rp.RPServerManager";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.server.game.rp.RPServerManager";"Map";"Set";"other";1.0
"Marauroa";"marauroa.server.game.messagehandler.SecuredLoginHandler.ServerInfo";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.server.game.messagehandler.SecuredLoginHandler.ServerInfo";"List";"Map";"other";0.93
"Marauroa";"marauroa.server.game.messagehandler.SecuredLoginHandler.ServerInfo";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.server.game.messagehandler.SecuredLoginHandler.ServerInfo";"List";"Set";"other";0.0
"Marauroa";"marauroa.common.game.RPSlot";"List";"Map";"access";0.0
"Marauroa";"marauroa.common.game.RPSlot";"List";"Map";"deletion";0.0
"Marauroa";"marauroa.common.game.RPSlot";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.common.game.RPSlot";"List";"Map";"other";0.87
"Marauroa";"marauroa.common.game.RPSlot";"List";"Set";"access";1.0
"Marauroa";"marauroa.common.game.RPSlot";"List";"Set";"deletion";0.0
"Marauroa";"marauroa.common.game.RPSlot";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.common.game.RPSlot";"List";"Set";"other";0.0
"Marauroa";"marauroa.server.game.db.RPObjectDAO";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.server.game.db.RPObjectDAO";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.common.net.message.MessageS2CTransfer";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.common.net.message.MessageS2CTransfer";"List";"Map";"other";0.0
"Marauroa";"marauroa.common.net.message.MessageS2CTransfer";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.common.net.message.MessageS2CTransfer";"List";"Set";"other";0.0
"Marauroa";"marauroa.common.game.RPObject";"List";"Map";"search";1.0
"Marauroa";"marauroa.common.game.RPObject";"List";"Map";"access";0.0
"Marauroa";"marauroa.common.game.RPObject";"List";"Map";"deletion";0.0
"Marauroa";"marauroa.common.game.RPObject";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.common.game.RPObject";"List";"Map";"other";0.8
"Marauroa";"marauroa.common.game.RPObject";"List";"Set";"search";0.0
"Marauroa";"marauroa.common.game.RPObject";"List";"Set";"access";1.0
"Marauroa";"marauroa.common.game.RPObject";"List";"Set";"deletion";0.0
"Marauroa";"marauroa.common.game.RPObject";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.common.game.RPObject";"List";"Set";"other";0.0
"Marauroa";"marauroa.common.game.RPObject";"Map";"List";"search";1.0
"Marauroa";"marauroa.common.game.RPObject";"Map";"List";"access";0.0
"Marauroa";"marauroa.common.game.RPObject";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.common.game.RPObject";"Map";"List";"other";0.87
"Marauroa";"marauroa.common.game.RPObject";"Map";"Set";"search";1.0
"Marauroa";"marauroa.common.game.RPObject";"Map";"Set";"access";1.0
"Marauroa";"marauroa.common.game.RPObject";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.common.game.RPObject";"Map";"Set";"other";0.85
"Marauroa";"marauroa.common.net.message.MessageS2CPerception";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.common.net.message.MessageS2CPerception";"List";"Map";"other";0.0
"Marauroa";"marauroa.common.net.message.MessageS2CPerception";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.common.net.message.MessageS2CPerception";"List";"Set";"other";0.0
"Marauroa";"marauroa.server.db.TransactionPool";"List";"Map";"search";1.0
"Marauroa";"marauroa.server.db.TransactionPool";"List";"Map";"deletion";0.0
"Marauroa";"marauroa.server.db.TransactionPool";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.server.db.TransactionPool";"List";"Map";"other";0.0
"Marauroa";"marauroa.server.db.TransactionPool";"List";"Set";"search";0.0
"Marauroa";"marauroa.server.db.TransactionPool";"List";"Set";"deletion";0.0
