"project";"class";"from";"to";"category";"metric"
"PMD";"net.sourceforge.pmd.renderers.HTMLRenderer";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.renderers.HTMLRenderer";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.ant.Formatter.RendererBuilder";"Map";"List";"insertion";1.0
"PMD";"net.sourceforge.pmd.ant.Formatter.RendererBuilder";"Map";"Set";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.strictexception.AvoidCatchingThrowable";"List";"Map";"access";0.0
"PMD";"net.sourceforge.pmd.rules.strictexception.AvoidCatchingThrowable";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod";"List";"Map";"access";0.0
"PMD";"net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod";"List";"Map";"deletion";0.0
"PMD";"net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod";"List";"Map";"other";0.87
"PMD";"net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod";"List";"Set";"deletion";0.0
"PMD";"net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod";"List";"Set";"insertion";0.0
"PMD";"net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod";"Map";"List";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod";"Map";"List";"other";1.0
"PMD";"net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod";"Map";"Set";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod";"Map";"Set";"other";1.0
"PMD";"net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod";"Set";"List";"other";0.0
"PMD";"net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod";"Set";"Map";"other";1.0
"PMD";"net.sourceforge.pmd.rules.UnnecessaryConversionTemporary";"Set";"List";"search";0.0
"PMD";"net.sourceforge.pmd.rules.UnnecessaryConversionTemporary";"Set";"Map";"search";1.0
"PMD";"net.sourceforge.pmd.typeresolution.visitors.PMDASMVisitor";"List";"Map";"search";1.0
"PMD";"net.sourceforge.pmd.typeresolution.visitors.PMDASMVisitor";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.typeresolution.visitors.PMDASMVisitor";"List";"Set";"search";0.0
"PMD";"net.sourceforge.pmd.typeresolution.visitors.PMDASMVisitor";"List";"Set";"insertion";0.0
"PMD";"net.sourceforge.pmd.typeresolution.visitors.PMDASMVisitor";"Map";"List";"insertion";1.0
"PMD";"net.sourceforge.pmd.typeresolution.visitors.PMDASMVisitor";"Map";"Set";"insertion";1.0
"PMD";"net.sourceforge.pmd.RuleSetWriter";"Map";"List";"search";1.0
"PMD";"net.sourceforge.pmd.RuleSetWriter";"Map";"List";"other";0.93
"PMD";"net.sourceforge.pmd.RuleSetWriter";"Map";"Set";"search";1.0
"PMD";"net.sourceforge.pmd.RuleSetWriter";"Map";"Set";"other";0.92
"PMD";"net.sourceforge.pmd.RuleSetWriter";"Set";"List";"search";0.0
"PMD";"net.sourceforge.pmd.RuleSetWriter";"Set";"List";"insertion";0.0
"PMD";"net.sourceforge.pmd.RuleSetWriter";"Set";"Map";"search";1.0
"PMD";"net.sourceforge.pmd.RuleSetWriter";"Set";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.cpd.RubyTokenizer";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.cpd.RubyTokenizer";"List";"Set";"insertion";0.0
"PMD";"net.sourceforge.pmd.symboltable.VariableUsageFinderFunction";"Map";"List";"access";0.0
"PMD";"net.sourceforge.pmd.symboltable.VariableUsageFinderFunction";"Map";"List";"insertion";1.0
"PMD";"net.sourceforge.pmd.symboltable.VariableUsageFinderFunction";"Map";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.symboltable.VariableUsageFinderFunction";"Map";"Set";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.AvoidCallingFinalize";"Set";"List";"search";0.0
"PMD";"net.sourceforge.pmd.rules.AvoidCallingFinalize";"Set";"List";"deletion";0.0
"PMD";"net.sourceforge.pmd.rules.AvoidCallingFinalize";"Set";"List";"insertion";0.0
"PMD";"net.sourceforge.pmd.rules.AvoidCallingFinalize";"Set";"Map";"search";1.0
"PMD";"net.sourceforge.pmd.rules.AvoidCallingFinalize";"Set";"Map";"deletion";0.0
"PMD";"net.sourceforge.pmd.rules.AvoidCallingFinalize";"Set";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.design.AssignmentToNonFinalStatic";"Map";"List";"other";1.0
"PMD";"net.sourceforge.pmd.rules.design.AssignmentToNonFinalStatic";"Map";"Set";"other";1.0
"PMD";"net.sourceforge.pmd.typeresolution.PMDASMClassLoader";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.typeresolution.PMDASMClassLoader";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.typeresolution.PMDASMClassLoader";"Set";"List";"search";0.0
"PMD";"net.sourceforge.pmd.typeresolution.PMDASMClassLoader";"Set";"List";"insertion";0.0
"PMD";"net.sourceforge.pmd.typeresolution.PMDASMClassLoader";"Set";"Map";"search";1.0
"PMD";"net.sourceforge.pmd.typeresolution.PMDASMClassLoader";"Set";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.CyclomaticComplexity";"List";"Map";"access";1.0
"PMD";"net.sourceforge.pmd.rules.CyclomaticComplexity";"List";"Map";"deletion";1.0
"PMD";"net.sourceforge.pmd.rules.CyclomaticComplexity";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.CyclomaticComplexity";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.rules.CyclomaticComplexity";"List";"Set";"deletion";1.0
"PMD";"net.sourceforge.pmd.rules.CyclomaticComplexity";"List";"Set";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.AccessorClassGeneration.ClassData";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.AccessorClassGeneration.ClassData";"List";"Map";"other";1.0
"PMD";"net.sourceforge.pmd.rules.AccessorClassGeneration.ClassData";"List";"Set";"insertion";0.0
"PMD";"net.sourceforge.pmd.rules.AccessorClassGeneration.ClassData";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod.ConstructorHolder";"List";"Map";"access";0.0
"PMD";"net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod.ConstructorHolder";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod.ConstructorHolder";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod.ConstructorHolder";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.rules.design.NonThreadSafeSingleton";"List";"Map";"access";0.0
"PMD";"net.sourceforge.pmd.rules.design.NonThreadSafeSingleton";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.rules.design.NonThreadSafeSingleton";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.rules.design.NonThreadSafeSingleton";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.rules.design.NonThreadSafeSingleton";"Map";"List";"search";1.0
"PMD";"net.sourceforge.pmd.rules.design.NonThreadSafeSingleton";"Map";"List";"deletion";0.0
"PMD";"net.sourceforge.pmd.rules.design.NonThreadSafeSingleton";"Map";"List";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.design.NonThreadSafeSingleton";"Map";"Set";"search";1.0
"PMD";"net.sourceforge.pmd.rules.design.NonThreadSafeSingleton";"Map";"Set";"deletion";0.0
"PMD";"net.sourceforge.pmd.rules.design.NonThreadSafeSingleton";"Map";"Set";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.strings.InsufficientStringBufferDeclaration";"List";"Map";"access";0.0
"PMD";"net.sourceforge.pmd.rules.strings.InsufficientStringBufferDeclaration";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.rules.strings.InsufficientStringBufferDeclaration";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.rules.strings.InsufficientStringBufferDeclaration";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.rules.strings.InsufficientStringBufferDeclaration";"Map";"List";"access";0.0
"PMD";"net.sourceforge.pmd.rules.strings.InsufficientStringBufferDeclaration";"Map";"List";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.strings.InsufficientStringBufferDeclaration";"Map";"List";"other";1.0
"PMD";"net.sourceforge.pmd.rules.strings.InsufficientStringBufferDeclaration";"Map";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.rules.strings.InsufficientStringBufferDeclaration";"Map";"Set";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.strings.InsufficientStringBufferDeclaration";"Map";"Set";"other";1.0
"PMD";"net.sourceforge.pmd.rules.strings.InsufficientStringBufferDeclaration";"Set";"List";"search";0.0
"PMD";"net.sourceforge.pmd.rules.strings.InsufficientStringBufferDeclaration";"Set";"Map";"search";1.0
