"project";"class";"from";"to";"category";"metric"
"Quickserver";"";"List";"Map";"other";0.93
"Quickserver";"";"List";"Set";"other";0.0
"Quickserver";"org.quickserver.util.pool.MakeQSObjectPool";"List";"Map";"deletion";0.0
"Quickserver";"org.quickserver.util.pool.MakeQSObjectPool";"List";"Map";"insertion";1.0
"Quickserver";"org.quickserver.util.pool.MakeQSObjectPool";"List";"Map";"other";1.0
"Quickserver";"org.quickserver.util.pool.MakeQSObjectPool";"List";"Set";"deletion";0.0
"Quickserver";"org.quickserver.util.pool.MakeQSObjectPool";"List";"Set";"insertion";0.0
"Quickserver";"org.quickserver.util.pool.MakeQSObjectPool";"List";"Set";"other";0.0
"Quickserver";"org.quickserver.net.server.QuickServer";"List";"Map";"insertion";1.0
"Quickserver";"org.quickserver.net.server.QuickServer";"List";"Map";"other";1.0
"Quickserver";"org.quickserver.net.server.QuickServer";"List";"Set";"insertion";0.0
"Quickserver";"org.quickserver.net.server.QuickServer";"List";"Set";"other";0.0
"Quickserver";"org.quickserver.net.server.QuickServer";"Map";"List";"access";0.0
"Quickserver";"org.quickserver.net.server.QuickServer";"Map";"List";"deletion";0.0
"Quickserver";"org.quickserver.net.server.QuickServer";"Map";"List";"insertion";1.0
"Quickserver";"org.quickserver.net.server.QuickServer";"Map";"List";"other";0.93
"Quickserver";"org.quickserver.net.server.QuickServer";"Map";"Set";"access";1.0
"Quickserver";"org.quickserver.net.server.QuickServer";"Map";"Set";"deletion";0.0
"Quickserver";"org.quickserver.net.server.QuickServer";"Map";"Set";"insertion";1.0
"Quickserver";"org.quickserver.net.server.QuickServer";"Map";"Set";"other";0.92
"Quickserver";"org.quickserver.net.server.QuickServer";"Set";"List";"other";0.0
"Quickserver";"org.quickserver.net.server.QuickServer";"Set";"Map";"other";0.92
"Quickserver";"java.lang.Thread";"List";"Map";"insertion";1.0
"Quickserver";"java.lang.Thread";"List";"Set";"insertion";0.0
"Quickserver";"org.quickserver.util.ClassUtil";"List";"Map";"insertion";1.0
"Quickserver";"org.quickserver.util.ClassUtil";"List";"Map";"other";1.0
"Quickserver";"org.quickserver.util.ClassUtil";"List";"Set";"insertion";0.0
"Quickserver";"org.quickserver.util.ClassUtil";"List";"Set";"other";0.0
"Quickserver";"org.quickserver.util.ClassUtil";"Map";"List";"insertion";1.0
"Quickserver";"org.quickserver.util.ClassUtil";"Map";"Set";"insertion";1.0
"Quickserver";"org.quickserver.net.qsadmin.gui.SimpleCommandSet";"List";"Map";"insertion";1.0
"Quickserver";"org.quickserver.net.qsadmin.gui.SimpleCommandSet";"List";"Set";"insertion";0.0
"Quickserver";"org.quickserver.net.qsadmin.gui.SimpleCommandSet";"Map";"List";"insertion";1.0
"Quickserver";"org.quickserver.net.qsadmin.gui.SimpleCommandSet";"Map";"Set";"insertion";1.0
"Quickserver";"org.quickserver.util.io.ByteBufferOutputStream";"List";"Map";"deletion";0.0
"Quickserver";"org.quickserver.util.io.ByteBufferOutputStream";"List";"Map";"insertion";1.0
"Quickserver";"org.quickserver.util.io.ByteBufferOutputStream";"List";"Map";"other";0.0
"Quickserver";"org.quickserver.util.io.ByteBufferOutputStream";"List";"Set";"deletion";0.0
"Quickserver";"org.quickserver.util.io.ByteBufferOutputStream";"List";"Set";"insertion";0.0
"Quickserver";"org.quickserver.util.io.ByteBufferOutputStream";"List";"Set";"other";0.0
"Quickserver";"org.quickserver.util.pool.thread.ClientPool";"List";"Map";"deletion";0.0
"Quickserver";"org.quickserver.util.pool.thread.ClientPool";"List";"Map";"insertion";1.0
"Quickserver";"org.quickserver.util.pool.thread.ClientPool";"List";"Map";"other";0.0
"Quickserver";"org.quickserver.util.pool.thread.ClientPool";"List";"Set";"deletion";0.0
"Quickserver";"org.quickserver.util.pool.thread.ClientPool";"List";"Set";"insertion";0.0
"Quickserver";"org.quickserver.util.pool.thread.ClientPool";"List";"Set";"other";0.0
"Quickserver";"org.quickserver.net.server.impl.SyncClientIdentifier";"List";"Map";"insertion";1.0
"Quickserver";"org.quickserver.net.server.impl.SyncClientIdentifier";"List";"Map";"other";1.0
"Quickserver";"org.quickserver.net.server.impl.SyncClientIdentifier";"List";"Set";"insertion";0.0
"Quickserver";"org.quickserver.net.server.impl.SyncClientIdentifier";"List";"Set";"other";0.0
"Quickserver";"org.quickserver.net.server.GhostSocketReaper";"List";"Map";"access";0.0
"Quickserver";"org.quickserver.net.server.GhostSocketReaper";"List";"Map";"deletion";0.0
"Quickserver";"org.quickserver.net.server.GhostSocketReaper";"List";"Map";"insertion";1.0
"Quickserver";"org.quickserver.net.server.GhostSocketReaper";"List";"Map";"other";0.0
"Quickserver";"org.quickserver.net.server.GhostSocketReaper";"List";"Set";"access";1.0
"Quickserver";"org.quickserver.net.server.GhostSocketReaper";"List";"Set";"deletion";0.0
"Quickserver";"org.quickserver.net.server.GhostSocketReaper";"List";"Set";"insertion";0.0
"Quickserver";"org.quickserver.net.server.GhostSocketReaper";"List";"Set";"other";0.0
"Quickserver";"org.quickserver.util.TextFile";"List";"Map";"access";0.0
"Quickserver";"org.quickserver.util.TextFile";"List";"Map";"other";0.0
"Quickserver";"org.quickserver.util.TextFile";"List";"Set";"access";1.0
"Quickserver";"org.quickserver.util.TextFile";"List";"Set";"other";0.0
