project;class;from;to;metric
Collection;java.util.AbstractSet;List;Map;1.0
Collection;java.util.AbstractSet;List;Set;0.83
Collection;java.util.AbstractSet;Map;List;0.83
Collection;java.util.AbstractSet;Map;Set;0.96
Collection;org.apache.commons.collections.ArrayStack;List;Map;0.85
Collection;org.apache.commons.collections.ArrayStack;List;Set;0.84
Collection;org.apache.commons.collections.BeanMap;List;Map;1.0
Collection;org.apache.commons.collections.BeanMap;List;Set;0.75
Collection;org.apache.commons.collections.BeanMap;Map;List;0.86
Collection;org.apache.commons.collections.BeanMap;Map;Set;0.92
Collection;org.apache.commons.collections.BeanMap;Set;List;0.92
Collection;org.apache.commons.collections.BeanMap;Set;Map;1.0
Collection;org.apache.commons.collections.BufferUtils;Map;List;1.0
Collection;org.apache.commons.collections.BufferUtils;Map;Set;1.0
Collection;org.apache.commons.collections.ClosureUtils;Map;List;0.86
Collection;org.apache.commons.collections.ClosureUtils;Map;Set;0.86
Collection;org.apache.commons.collections.ClosureUtils;Set;List;0.92
Collection;org.apache.commons.collections.ClosureUtils;Set;Map;1.0
Collection;org.apache.commons.collections.CollectionUtils;List;Map;0.87
Collection;org.apache.commons.collections.CollectionUtils;List;Set;0.87
Collection;org.apache.commons.collections.CollectionUtils;Map;List;0.89
Collection;org.apache.commons.collections.CollectionUtils;Map;Set;0.96
Collection;org.apache.commons.collections.CollectionUtils;Set;List;0.83
Collection;org.apache.commons.collections.CollectionUtils;Set;Map;1.0
Collection;org.apache.commons.collections.CursorableLinkedList;List;Map;1.0
Collection;org.apache.commons.collections.CursorableLinkedList;List;Set;0.83
Collection;org.apache.commons.collections.DefaultMapBag;List;Map;0.96
Collection;org.apache.commons.collections.DefaultMapBag;List;Set;0.75
Collection;org.apache.commons.collections.DefaultMapBag;Map;List;0.84
Collection;org.apache.commons.collections.DefaultMapBag;Map;Set;0.84
Collection;org.apache.commons.collections.DefaultMapBag;Set;List;0.92
Collection;org.apache.commons.collections.DefaultMapBag;Set;Map;1.0
Collection;org.apache.commons.collections.DoubleOrderedMap;Map;List;1.0
Collection;org.apache.commons.collections.DoubleOrderedMap;Map;Set;1.0
Collection;org.apache.commons.collections.ExtendedProperties;List;Map;0.88
Collection;org.apache.commons.collections.ExtendedProperties;List;Set;0.82
Collection;org.apache.commons.collections.ExtendedProperties;Map;List;0.87
Collection;org.apache.commons.collections.ExtendedProperties;Map;Set;0.94
Collection;org.apache.commons.collections.FastArrayList.ListIter;List;Map;0.92
Collection;org.apache.commons.collections.FastArrayList.ListIter;List;Set;0.84
Collection;org.apache.commons.collections.FastArrayList.SubList.SubListIter;List;Map;0.92
Collection;org.apache.commons.collections.FastArrayList.SubList.SubListIter;List;Set;0.84
Collection;org.apache.commons.collections.FastArrayList.SubList;List;Map;0.8
Collection;org.apache.commons.collections.FastArrayList.SubList;List;Set;0.44
Collection;org.apache.commons.collections.FastArrayList;List;Map;0.81
Collection;org.apache.commons.collections.FastArrayList;List;Set;0.46
Collection;org.apache.commons.collections.FastHashMap.CollectionView.CollectionViewIterator;Map;List;1.0
Collection;org.apache.commons.collections.FastHashMap.CollectionView.CollectionViewIterator;Map;Set;1.0
Collection;org.apache.commons.collections.FastHashMap.CollectionView.CollectionViewIterator;Set;List;0.92
Collection;org.apache.commons.collections.FastHashMap.CollectionView.CollectionViewIterator;Set;Map;1.0
Collection;org.apache.commons.collections.FastHashMap.EntrySet;Map;List;1.0
Collection;org.apache.commons.collections.FastHashMap.EntrySet;Map;Set;1.0
Collection;org.apache.commons.collections.FastHashMap.KeySet;Map;List;1.0
Collection;org.apache.commons.collections.FastHashMap.KeySet;Map;Set;1.0
Collection;org.apache.commons.collections.FastHashMap.Values;Map;List;1.0
Collection;org.apache.commons.collections.FastHashMap.Values;Map;Set;1.0
Collection;org.apache.commons.collections.FastHashMap;Map;List;0.81
Collection;org.apache.commons.collections.FastHashMap;Map;Set;0.86
Collection;org.apache.commons.collections.FastHashMap;Set;List;0.92
Collection;org.apache.commons.collections.FastHashMap;Set;Map;1.0
Collection;org.apache.commons.collections.FastTreeMap.CollectionView.CollectionViewIterator;Map;List;1.0
Collection;org.apache.commons.collections.FastTreeMap.CollectionView.CollectionViewIterator;Map;Set;1.0
Collection;org.apache.commons.collections.FastTreeMap.CollectionView.CollectionViewIterator;Set;List;0.92
Collection;org.apache.commons.collections.FastTreeMap.CollectionView.CollectionViewIterator;Set;Map;1.0
Collection;org.apache.commons.collections.FastTreeMap.EntrySet;Map;List;1.0
Collection;org.apache.commons.collections.FastTreeMap.EntrySet;Map;Set;1.0
Collection;org.apache.commons.collections.FastTreeMap.KeySet;Map;List;1.0
Collection;org.apache.commons.collections.FastTreeMap.KeySet;Map;Set;1.0
Collection;org.apache.commons.collections.FastTreeMap.Values;Map;List;1.0
Collection;org.apache.commons.collections.FastTreeMap.Values;Map;Set;1.0
Collection;org.apache.commons.collections.FastTreeMap;Map;List;0.81
Collection;org.apache.commons.collections.FastTreeMap;Map;Set;0.86
Collection;org.apache.commons.collections.FastTreeMap;Set;List;0.92
Collection;org.apache.commons.collections.FastTreeMap;Set;Map;1.0
Collection;org.apache.commons.collections.IteratorUtils;List;Map;0.96
Collection;org.apache.commons.collections.IteratorUtils;List;Set;0.79
Collection;org.apache.commons.collections.IteratorUtils;Map;List;1.0
Collection;org.apache.commons.collections.IteratorUtils;Map;Set;1.0
Collection;org.apache.commons.collections.LRUMap;Set;List;0.92
Collection;org.apache.commons.collections.LRUMap;Set;Map;1.0
Collection;org.apache.commons.collections.ListUtils;List;Map;0.94
Collection;org.apache.commons.collections.ListUtils;List;Set;0.71
Collection;org.apache.commons.collections.MapUtils;List;Map;0.96
Collection;org.apache.commons.collections.MapUtils;List;Set;0.83
Collection;org.apache.commons.collections.MapUtils;Map;List;0.86
Collection;org.apache.commons.collections.MapUtils;Map;Set;0.94
Collection;org.apache.commons.collections.MapUtils;Set;List;0.92
Collection;org.apache.commons.collections.MapUtils;Set;Map;1.0
Collection;org.apache.commons.collections.MultiHashMap;Map;List;0.82
Collection;org.apache.commons.collections.MultiHashMap;Map;Set;0.9
Collection;org.apache.commons.collections.MultiHashMap;Set;List;0.92
Collection;org.apache.commons.collections.MultiHashMap;Set;Map;1.0
Collection;org.apache.commons.collections.ProxyMap;Map;List;0.8
Collection;org.apache.commons.collections.ProxyMap;Map;Set;0.84
Collection;org.apache.commons.collections.ReferenceMap;Set;List;0.92
Collection;org.apache.commons.collections.ReferenceMap;Set;Map;1.0
Collection;org.apache.commons.collections.SequencedHashMap;List;Map;1.0
Collection;org.apache.commons.collections.SequencedHashMap;List;Set;0.75
Collection;org.apache.commons.collections.SequencedHashMap;Map;List;0.82
Collection;org.apache.commons.collections.SequencedHashMap;Map;Set;0.87
Collection;org.apache.commons.collections.SequencedHashMap;Set;List;0.83
Collection;org.apache.commons.collections.SequencedHashMap;Set;Map;0.92
Collection;org.apache.commons.collections.StaticBucketMap.EntryIterator;List;Map;0.9
Collection;org.apache.commons.collections.StaticBucketMap.EntryIterator;List;Set;0.82
Collection;org.apache.commons.collections.StaticBucketMap;Map;List;0.86
Collection;org.apache.commons.collections.StaticBucketMap;Map;Set;1.0
Collection;org.apache.commons.collections.StaticBucketMap;Set;List;0.83
Collection;org.apache.commons.collections.StaticBucketMap;Set;Map;0.92
Collection;org.apache.commons.collections.TransformerUtils;Map;List;0.86
Collection;org.apache.commons.collections.TransformerUtils;Map;Set;0.86
Collection;org.apache.commons.collections.TransformerUtils;Set;List;0.92
Collection;org.apache.commons.collections.TransformerUtils;Set;Map;1.0
Collection;org.apache.commons.collections.TreeBag;Map;List;1.0
Collection;org.apache.commons.collections.TreeBag;Map;Set;1.0
Collection;org.apache.commons.collections.bag.AbstractMapBag.BagIterator;Map;List;1.0
Collection;org.apache.commons.collections.bag.AbstractMapBag.BagIterator;Map;Set;1.0
Collection;org.apache.commons.collections.bag.AbstractMapBag.BagIterator;Set;List;0.92
Collection;org.apache.commons.collections.bag.AbstractMapBag.BagIterator;Set;Map;1.0
Collection;org.apache.commons.collections.bag.AbstractMapBag;Map;List;0.81
Collection;org.apache.commons.collections.bag.AbstractMapBag;Map;Set;0.86
Collection;org.apache.commons.collections.bag.AbstractMapBag;Set;List;0.92
Collection;org.apache.commons.collections.bag.AbstractMapBag;Set;Map;1.0
Collection;org.apache.commons.collections.bag.TreeBag;Map;List;1.0
Collection;org.apache.commons.collections.bag.TreeBag;Map;Set;1.0
