project;class;from;to;metric
Freecs;freecs.Server;List;Map;0.96
Freecs;freecs.Server;List;Set;0.0
Freecs;freecs.Server;Map;List;0.65
Freecs;freecs.Server;Map;Set;0.85
Freecs;freecs.Server;Set;List;0.0
Freecs;freecs.Server;Set;Map;1.0
Freecs;freecs.auth.AbstractAuthenticator;List;Map;1.0
Freecs;freecs.auth.AbstractAuthenticator;List;Set;0.0
Freecs;freecs.auth.AbstractAuthenticator;Map;List;1.0
Freecs;freecs.auth.AbstractAuthenticator;Map;Set;1.0
Freecs;freecs.auth.AuthManager;List;Map;0.97
Freecs;freecs.auth.AuthManager;List;Set;0.0
Freecs;freecs.auth.SQLAuthenticator;Map;List;1.0
Freecs;freecs.auth.SQLAuthenticator;Map;Set;1.0
Freecs;freecs.auth.XmlRpcAuthenticator;List;Map;1.0
Freecs;freecs.auth.XmlRpcAuthenticator;List;Set;0.0
Freecs;freecs.auth.XmlRpcAuthenticator;Map;List;0.72
Freecs;freecs.auth.XmlRpcAuthenticator;Map;Set;1.0
Freecs;freecs.auth.sqlConnectionPool.DbProperties;List;Map;0.81
Freecs;freecs.auth.sqlConnectionPool.DbProperties;List;Set;0.32
Freecs;freecs.auth.sqlConnectionPool.DbProperties;Map;List;1.0
Freecs;freecs.auth.sqlConnectionPool.DbProperties;Map;Set;1.0
Freecs;freecs.auth.sqlConnectionPool.PoolElement;List;Map;1.0
Freecs;freecs.auth.sqlConnectionPool.PoolElement;List;Set;0.75
Freecs;freecs.commands.AbstractCommand;List;Map;0.76
Freecs;freecs.commands.AbstractCommand;List;Set;0.46
Freecs;freecs.commands.CmdBan;List;Map;0.97
Freecs;freecs.commands.CmdBan;List;Set;0.0
Freecs;freecs.commands.CmdChangeBgcolor;List;Map;1.0
Freecs;freecs.commands.CmdChangeBgcolor;List;Set;0.0
Freecs;freecs.commands.CmdIgnore;List;Map;0.93
Freecs;freecs.commands.CmdIgnore;List;Set;0.0
Freecs;freecs.commands.CmdInvite;List;Map;0.93
Freecs;freecs.commands.CmdInvite;List;Set;0.0
Freecs;freecs.commands.CmdKick;List;Map;0.49
Freecs;freecs.commands.CmdKick;List;Set;0.0
Freecs;freecs.commands.CmdKickHard;List;Map;0.44
Freecs;freecs.commands.CmdKickHard;List;Set;0.85
Freecs;freecs.commands.CmdKickToRoom;List;Map;0.93
Freecs;freecs.commands.CmdKickToRoom;List;Set;0.0
Freecs;freecs.commands.CmdListOnlineFriends;List;Map;0.58
Freecs;freecs.commands.CmdListOnlineFriends;List;Set;0.0
Freecs;freecs.commands.CmdListVips;List;Map;0.44
Freecs;freecs.commands.CmdListVips;List;Set;0.85
Freecs;freecs.commands.CmdLockChangeForeignAction;List;Map;0.44
Freecs;freecs.commands.CmdLockChangeForeignAction;List;Set;0.85
Freecs;freecs.commands.CmdPunish;List;Map;0.93
Freecs;freecs.commands.CmdPunish;List;Set;0.0
Freecs;freecs.commands.CmdRSu;List;Map;0.44
Freecs;freecs.commands.CmdRSu;List;Set;0.85
Freecs;freecs.commands.CmdRespectUser;List;Map;0.76
Freecs;freecs.commands.CmdRespectUser;List;Set;0.46
Freecs;freecs.commands.CmdShowIp;List;Map;0.93
Freecs;freecs.commands.CmdShowIp;List;Set;0.0
Freecs;freecs.commands.CmdSu;List;Map;0.44
Freecs;freecs.commands.CmdSu;List;Set;0.85
Freecs;freecs.commands.CmdSys;List;Map;1.0
Freecs;freecs.commands.CmdSys;List;Set;0.0
Freecs;freecs.commands.CmdUnBan;List;Map;0.66
Freecs;freecs.commands.CmdUnBan;List;Set;0.6
Freecs;freecs.commands.CmdUnPunish;List;Map;0.93
Freecs;freecs.commands.CmdUnPunish;List;Set;0.0
Freecs;freecs.commands.CommandSet;Map;List;0.68
Freecs;freecs.commands.CommandSet;Map;Set;1.0
Freecs;freecs.commands.CommandSet;Set;List;0.0
Freecs;freecs.commands.CommandSet;Set;Map;1.0
Freecs;freecs.content.ContentContainer;List;Map;1.0
Freecs;freecs.content.ContentContainer;List;Set;0.0
Freecs;freecs.content.HTTPRequest;Map;List;1.0
Freecs;freecs.content.HTTPRequest;Map;Set;1.0
Freecs;freecs.core.CentralSelector.KeepAliveTimeoutChecker;Set;List;0.0
Freecs;freecs.core.CentralSelector.KeepAliveTimeoutChecker;Set;Map;1.0
Freecs;freecs.core.CentralSelector;Set;List;0.0
Freecs;freecs.core.CentralSelector;Set;Map;0.85
Freecs;freecs.core.Group;List;Map;0.78
Freecs;freecs.core.Group;List;Set;0.0
Freecs;freecs.core.GroupManager;List;Map;0.96
Freecs;freecs.core.GroupManager;List;Set;0.0
Freecs;freecs.core.GroupManager;Map;List;0.52
Freecs;freecs.core.GroupManager;Map;Set;0.8
Freecs;freecs.core.GroupManager;Set;List;0.0
Freecs;freecs.core.GroupManager;Set;Map;1.0
Freecs;freecs.core.Listener;Map;List;0.68
Freecs;freecs.core.Listener;Map;Set;1.0
Freecs;freecs.core.Listener;Set;List;0.0
Freecs;freecs.core.Listener;Set;Map;1.0
Freecs;freecs.core.Membership;List;Map;0.8
Freecs;freecs.core.Membership;List;Set;0.0
Freecs;freecs.core.Membership;Map;List;1.0
Freecs;freecs.core.Membership;Map;Set;1.0
Freecs;freecs.core.Membership;Set;List;0.0
Freecs;freecs.core.Membership;Set;Map;1.0
Freecs;freecs.core.MembershipManager;List;Map;1.0
Freecs;freecs.core.MembershipManager;List;Set;0.0
Freecs;freecs.core.MembershipManager;Map;List;0.68
Freecs;freecs.core.MembershipManager;Map;Set;1.0
Freecs;freecs.core.MembershipManager;Set;List;0.0
Freecs;freecs.core.MembershipManager;Set;Map;1.0
Freecs;freecs.core.MessageParser;List;Map;0.76
Freecs;freecs.core.MessageParser;List;Set;0.46
Freecs;freecs.core.MessageParser;Map;List;0.59
Freecs;freecs.core.MessageParser;Map;Set;0.83
Freecs;freecs.core.MessageRenderer;List;Map;0.0
Freecs;freecs.core.MessageRenderer;List;Set;0.0
Freecs;freecs.core.RequestEvaluator;List;Map;1.0
Freecs;freecs.core.RequestEvaluator;List;Set;0.0
Freecs;freecs.core.RequestEvaluator;Map;List;0.72
Freecs;freecs.core.RequestEvaluator;Map;Set;1.0
Freecs;freecs.core.RequestMonitor;Map;List;0.54
Freecs;freecs.core.RequestMonitor;Map;Set;0.81
Freecs;freecs.core.RequestMonitor;Set;List;0.0
Freecs;freecs.core.RequestMonitor;Set;Map;1.0
Freecs;freecs.core.RequestReader;List;Map;0.42
Freecs;freecs.core.RequestReader;List;Set;0.0
Freecs;freecs.core.Responder;Set;List;0.0
Freecs;freecs.core.Responder;Set;Map;0.92
Freecs;freecs.core.User;List;Map;0.8
Freecs;freecs.core.User;List;Set;0.0
Freecs;freecs.core.User;Map;List;0.54
Freecs;freecs.core.User;Map;Set;0.81
Freecs;freecs.core.User;Set;List;0.0
Freecs;freecs.core.User;Set;Map;1.0
Freecs;freecs.core.UserManager.UserStore.UserStoreIterator;Map;List;0.53
Freecs;freecs.core.UserManager.UserStore.UserStoreIterator;Map;Set;0.51
Freecs;freecs.core.UserManager.UserStore;Map;List;0.65
Freecs;freecs.core.UserManager.UserStore;Map;Set;0.85
Freecs;freecs.core.UserManager.UserStore;Set;List;0.0
Freecs;freecs.core.UserManager.UserStore;Set;Map;1.0
Freecs;freecs.core.UserManager;List;Map;0.95
Freecs;freecs.core.UserManager;List;Set;0.0
Freecs;freecs.core.UserManager;Map;List;0.41
Freecs;freecs.core.UserManager;Map;Set;0.77
Freecs;freecs.external.StateRequestHandler;Map;List;0.0
Freecs;freecs.external.StateRequestHandler;Map;Set;0.0
Freecs;freecs.external.StaticRequestHandler;Map;List;0.55
Freecs;freecs.external.StaticRequestHandler;Map;Set;1.0
Freecs;freecs.external.WebadminRequestHandler;List;Map;0.98
Freecs;freecs.external.WebadminRequestHandler;List;Set;0.0
Freecs;freecs.external.WebadminRequestHandler;Map;List;0.66
Freecs;freecs.external.WebadminRequestHandler;Map;Set;0.98
Freecs;freecs.external.WebadminRequestHandler;Set;List;0.0
Freecs;freecs.external.WebadminRequestHandler;Set;Map;1.0
Freecs;freecs.external.xmlrpc.XmlRpcManager;Map;List;0.47
Freecs;freecs.external.xmlrpc.XmlRpcManager;Map;Set;1.0
Freecs;freecs.external.xmlrpc.XmlRpcManager;Set;List;0.0
Freecs;freecs.external.xmlrpc.XmlRpcManager;Set;Map;1.0
Freecs;freecs.external.xmlrpc.freecsXmlRpcHandler;Map;List;1.0
Freecs;freecs.external.xmlrpc.freecsXmlRpcHandler;Map;Set;1.0
Freecs;freecs.layout.Template;List;Map;1.0
Freecs;freecs.layout.Template;List;Set;0.0
Freecs;freecs.layout.TemplateManager;Map;List;0.78
Freecs;freecs.layout.TemplateManager;Map;Set;1.0
Freecs;freecs.layout.TemplateManager;Set;List;0.0
Freecs;freecs.layout.TemplateManager;Set;Map;1.0
Freecs;freecs.layout.TemplateSet;Map;List;0.59
Freecs;freecs.layout.TemplateSet;Map;Set;0.83
Freecs;freecs.util.FadeColor;List;Map;1.0
Freecs;freecs.util.FadeColor;List;Set;0.0
Freecs;freecs.util.FileMonitor;List;Map;0.62
Freecs;freecs.util.FileMonitor;List;Set;0.0
Freecs;freecs.util.GroupUserList;List;Map;0.66
Freecs;freecs.util.GroupUserList;List;Set;0.6
Freecs;freecs.util.GroupUserList;Map;List;0.68
Freecs;freecs.util.GroupUserList;Map;Set;1.0
Freecs;freecs.util.GroupUserList;Set;List;0.0
Freecs;freecs.util.GroupUserList;Set;Map;1.0
Freecs;freecs.util.HtmlEncoder;List;Map;0.69
Freecs;freecs.util.HtmlEncoder;List;Set;0.75
Freecs;freecs.util.HtmlEncoder;Set;List;0.0
Freecs;freecs.util.HtmlEncoder;Set;Map;1.0
Freecs;freecs.util.MessageTemplateFinder;Map;List;0.0
Freecs;freecs.util.MessageTemplateFinder;Map;Set;0.0
Freecs;freecs.util.MessageTemplateFinder;Set;List;0.0
Freecs;freecs.util.MessageTemplateFinder;Set;Map;1.0
Freecs;freecs.util.TrafficMonitor;Map;List;0.41
Freecs;freecs.util.TrafficMonitor;Map;Set;0.77
Freecs;freecs.util.logger.LogCleaner;List;Map;1.0
Freecs;freecs.util.logger.LogCleaner;List;Set;0.0
Freecs;freecs.util.logger.LogCleaner;Map;List;0.66
Freecs;freecs.util.logger.LogCleaner;Map;Set;0.86
Freecs;freecs.util.logger.LogCleaner;Set;List;0.0
Freecs;freecs.util.logger.LogCleaner;Set;Map;1.0
Freecs;freecs.util.logger.LogWriter;Map;List;0.41
Freecs;freecs.util.logger.LogWriter;Map;Set;0.77
