project;class;from;to;metric
JFreechart;org.jfree.chart.ChartFactory;List;Map;1.0
JFreechart;org.jfree.chart.ChartFactory;List;Set;0.0
JFreechart;org.jfree.chart.ChartPanel;List;Map;0.73
JFreechart;org.jfree.chart.ChartPanel;List;Set;0.0
JFreechart;org.jfree.chart.JFreeChart;List;Map;0.52
JFreechart;org.jfree.chart.JFreeChart;List;Set;0.6
JFreechart;org.jfree.chart.LegendItemCollection;List;Map;0.64
JFreechart;org.jfree.chart.LegendItemCollection;List;Set;0.6
JFreechart;org.jfree.chart.PaintMap;Map;List;0.65
JFreechart;org.jfree.chart.PaintMap;Map;Set;0.85
JFreechart;org.jfree.chart.PaintMap;Set;List;0.0
JFreechart;org.jfree.chart.PaintMap;Set;Map;1.0
JFreechart;org.jfree.chart.StandardChartTheme;List;Map;1.0
JFreechart;org.jfree.chart.StandardChartTheme;List;Set;0.0
JFreechart;org.jfree.chart.StrokeMap;Map;List;0.65
JFreechart;org.jfree.chart.StrokeMap;Map;Set;0.85
JFreechart;org.jfree.chart.StrokeMap;Set;List;0.0
JFreechart;org.jfree.chart.StrokeMap;Set;Map;1.0
JFreechart;org.jfree.chart.axis.Axis;List;Map;1.0
JFreechart;org.jfree.chart.axis.Axis;List;Set;0.0
JFreechart;org.jfree.chart.axis.AxisCollection;List;Map;1.0
JFreechart;org.jfree.chart.axis.AxisCollection;List;Set;0.0
JFreechart;org.jfree.chart.axis.CategoryAxis;List;Map;0.98
JFreechart;org.jfree.chart.axis.CategoryAxis;List;Set;0.43
JFreechart;org.jfree.chart.axis.CategoryAxis;Map;List;0.52
JFreechart;org.jfree.chart.axis.CategoryAxis;Map;Set;0.8
JFreechart;org.jfree.chart.axis.CategoryAxis;Set;List;0.0
JFreechart;org.jfree.chart.axis.CategoryAxis;Set;Map;0.92
JFreechart;org.jfree.chart.axis.CyclicNumberAxis;List;Map;0.42
JFreechart;org.jfree.chart.axis.CyclicNumberAxis;List;Set;0.0
JFreechart;org.jfree.chart.axis.DateAxis;List;Map;1.0
JFreechart;org.jfree.chart.axis.DateAxis;List;Set;0.0
JFreechart;org.jfree.chart.axis.ExtendedCategoryAxis;Map;List;0.39
JFreechart;org.jfree.chart.axis.ExtendedCategoryAxis;Map;Set;0.76
JFreechart;org.jfree.chart.axis.LogAxis;List;Map;1.0
JFreechart;org.jfree.chart.axis.LogAxis;List;Set;0.0
JFreechart;org.jfree.chart.axis.LogarithmicAxis;List;Map;1.0
JFreechart;org.jfree.chart.axis.LogarithmicAxis;List;Set;0.0
JFreechart;org.jfree.chart.axis.MarkerAxisBand;List;Map;0.97
JFreechart;org.jfree.chart.axis.MarkerAxisBand;List;Set;0.0
JFreechart;org.jfree.chart.axis.NumberAxis;List;Map;0.61
JFreechart;org.jfree.chart.axis.NumberAxis;List;Set;0.0
JFreechart;org.jfree.chart.axis.PeriodAxis;List;Map;1.0
JFreechart;org.jfree.chart.axis.PeriodAxis;List;Set;0.0
JFreechart;org.jfree.chart.axis.SegmentedTimeline;List;Map;0.66
JFreechart;org.jfree.chart.axis.SegmentedTimeline;List;Set;0.6
JFreechart;org.jfree.chart.axis.SubCategoryAxis;List;Map;0.64
