project;class;from;to;metric
JGrapht;org.jgrapht.Graphs;List;Map;1.0
JGrapht;org.jgrapht.Graphs;List;Set;0.0
JGrapht;org.jgrapht.alg.AbstractPathElement;List;Map;1.0
JGrapht;org.jgrapht.alg.AbstractPathElement;List;Set;0.0
JGrapht;org.jgrapht.alg.AbstractPathElementList;List;Map;0.39
JGrapht;org.jgrapht.alg.AbstractPathElementList;List;Set;0.6
JGrapht;org.jgrapht.alg.BellmanFordIterator;List;Map;0.39
JGrapht;org.jgrapht.alg.BellmanFordIterator;List;Set;0.6
JGrapht;org.jgrapht.alg.BellmanFordIterator;Map;List;0.72
JGrapht;org.jgrapht.alg.BellmanFordIterator;Map;Set;1.0
JGrapht;org.jgrapht.alg.BellmanFordIterator;Set;List;0.0
JGrapht;org.jgrapht.alg.BellmanFordIterator;Set;Map;1.0
JGrapht;org.jgrapht.alg.BellmanFordShortestPath;Set;List;0.0
JGrapht;org.jgrapht.alg.BellmanFordShortestPath;Set;Map;0.0
JGrapht;org.jgrapht.alg.BiconnectivityInspector;Set;List;0.0
JGrapht;org.jgrapht.alg.BiconnectivityInspector;Set;Map;0.96
JGrapht;org.jgrapht.alg.BlockCutpointGraph.VertexComponentForbiddenFunction;Set;List;0.0
JGrapht;org.jgrapht.alg.BlockCutpointGraph.VertexComponentForbiddenFunction;Set;Map;1.0
JGrapht;org.jgrapht.alg.BlockCutpointGraph;Map;List;0.55
JGrapht;org.jgrapht.alg.BlockCutpointGraph;Map;Set;1.0
JGrapht;org.jgrapht.alg.BlockCutpointGraph;Set;List;0.0
JGrapht;org.jgrapht.alg.BlockCutpointGraph;Set;Map;0.8
JGrapht;org.jgrapht.alg.BronKerboschCliqueFinder;List;Map;0.42
JGrapht;org.jgrapht.alg.BronKerboschCliqueFinder;List;Set;0.0
JGrapht;org.jgrapht.alg.BronKerboschCliqueFinder;Set;List;0.0
JGrapht;org.jgrapht.alg.BronKerboschCliqueFinder;Set;Map;0.0
JGrapht;org.jgrapht.alg.ChromaticNumber;List;Map;1.0
JGrapht;org.jgrapht.alg.ChromaticNumber;List;Set;0.0
JGrapht;org.jgrapht.alg.ChromaticNumber;Set;List;0.0
JGrapht;org.jgrapht.alg.ChromaticNumber;Set;Map;0.97
