project;class;from;to;metric
Jedit;com.microstar.xml.XmlParser;List;Map;0.95
Jedit;com.microstar.xml.XmlParser;List;Set;0.94
Jedit;com.microstar.xml.XmlParser;Map;List;0.86
Jedit;com.microstar.xml.XmlParser;Map;Set;1.0
Jedit;de.masters_of_disaster.ant.tasks.ar.Ar;List;Map;0.93
Jedit;de.masters_of_disaster.ant.tasks.ar.Ar;List;Set;0.92
Jedit;installer.InstallThread;List;Map;0.93
Jedit;installer.InstallThread;List;Set;0.92
Jedit;installer.OperatingSystem.Windows.JEditLauncherOSTask;List;Map;1.0
Jedit;installer.OperatingSystem.Windows.JEditLauncherOSTask;List;Set;0.75
Jedit;installer.SwingInstall.ChooseDirectory;Map;List;1.0
Jedit;installer.SwingInstall.ChooseDirectory;Map;Set;1.0
Jedit;installer.SwingInstall.SelectComponents;List;Map;0.93
Jedit;installer.SwingInstall.SelectComponents;List;Set;0.92
Jedit;installer.SwingInstall;Map;List;0.86
Jedit;installer.SwingInstall;Map;Set;1.0
Jedit;installer.SwingInstall;Set;List;0.92
Jedit;installer.SwingInstall;Set;Map;1.0
Jedit;java.lang.Object;List;Map;0.88
Jedit;java.lang.Object;List;Set;0.79
Jedit;java.lang.Object;Map;List;0.86
Jedit;java.lang.Object;Map;Set;1.0
Jedit;java.lang.Object;Set;List;0.75
Jedit;java.lang.Object;Set;Map;1.0
Jedit;macosx.MacOSXPlugin;Map;List;1.0
Jedit;macosx.MacOSXPlugin;Map;Set;1.0
Jedit;macosx.MacOSXPlugin;Set;List;0.92
Jedit;macosx.MacOSXPlugin;Set;Map;1.0
Jedit;net.sourceforge.jarbundler.AppBundleProperties;List;Map;1.0
Jedit;net.sourceforge.jarbundler.AppBundleProperties;List;Set;0.75
Jedit;net.sourceforge.jarbundler.AppBundleProperties;Map;List;1.0
Jedit;net.sourceforge.jarbundler.AppBundleProperties;Map;Set;1.0
Jedit;net.sourceforge.jarbundler.HelpBook;List;Map;1.0
Jedit;net.sourceforge.jarbundler.HelpBook;List;Set;0.75
Jedit;net.sourceforge.jarbundler.JarBundler;List;Map;0.96
Jedit;net.sourceforge.jarbundler.JarBundler;List;Set;0.79
Jedit;net.sourceforge.jarbundler.JarBundler;Set;List;0.75
Jedit;net.sourceforge.jarbundler.JarBundler;Set;Map;1.0
Jedit;net.sourceforge.jarbundler.PropertyListWriter;List;Map;0.93
Jedit;net.sourceforge.jarbundler.PropertyListWriter;List;Set;0.75
Jedit;net.sourceforge.jarbundler.PropertyListWriter;Map;List;0.83
Jedit;net.sourceforge.jarbundler.PropertyListWriter;Map;Set;0.96
Jedit;net.sourceforge.jarbundler.PropertyListWriter;Set;List;0.92
Jedit;net.sourceforge.jarbundler.PropertyListWriter;Set;Map;1.0
Jedit;org.gjt.sp.jedit.Abbrevs.Expansion;List;Map;0.83
Jedit;org.gjt.sp.jedit.Abbrevs.Expansion;List;Set;0.96
Jedit;org.gjt.sp.jedit.Abbrevs;List;Map;0.93
Jedit;org.gjt.sp.jedit.Abbrevs;List;Set;0.92
Jedit;org.gjt.sp.jedit.Abbrevs;Map;List;0.86
Jedit;org.gjt.sp.jedit.Abbrevs;Map;Set;1.0
Jedit;org.gjt.sp.jedit.ActionListHandler;List;Map;1.0
Jedit;org.gjt.sp.jedit.ActionListHandler;List;Set;1.0
Jedit;org.gjt.sp.jedit.ActionSet;List;Map;0.96
Jedit;org.gjt.sp.jedit.ActionSet;List;Set;0.79
Jedit;org.gjt.sp.jedit.ActionSet;Map;List;1.0
Jedit;org.gjt.sp.jedit.ActionSet;Map;Set;1.0
Jedit;org.gjt.sp.jedit.Buffer;List;Map;0.86
Jedit;org.gjt.sp.jedit.Buffer;List;Set;0.86
Jedit;org.gjt.sp.jedit.BufferHistory.RecentHandler;List;Map;1.0
Jedit;org.gjt.sp.jedit.BufferHistory.RecentHandler;List;Set;1.0
Jedit;org.gjt.sp.jedit.BufferHistory;List;Map;0.9
Jedit;org.gjt.sp.jedit.BufferHistory;List;Set;0.77
Jedit;org.gjt.sp.jedit.EditBus.HandlerList;List;Map;0.92
Jedit;org.gjt.sp.jedit.EditBus.HandlerList;List;Set;0.82
Jedit;org.gjt.sp.jedit.EditBus.HandlerList;Map;List;0.86
Jedit;org.gjt.sp.jedit.EditBus.HandlerList;Map;Set;1.0
Jedit;org.gjt.sp.jedit.EditBus;Map;List;0.75
Jedit;org.gjt.sp.jedit.EditBus;Map;Set;1.0
Jedit;org.gjt.sp.jedit.EditPane;List;Map;0.81
Jedit;org.gjt.sp.jedit.EditPane;List;Set;0.91
Jedit;org.gjt.sp.jedit.EditPane;Map;List;0.84
Jedit;org.gjt.sp.jedit.EditPane;Map;Set;0.92
Jedit;org.gjt.sp.jedit.GUIUtilities;List;Map;0.96
Jedit;org.gjt.sp.jedit.GUIUtilities;List;Set;0.83
Jedit;org.gjt.sp.jedit.GUIUtilities;Map;List;0.87
Jedit;org.gjt.sp.jedit.GUIUtilities;Map;Set;0.94
Jedit;org.gjt.sp.jedit.JARClassLoader;Map;List;0.87
Jedit;org.gjt.sp.jedit.JARClassLoader;Map;Set;0.94
Jedit;org.gjt.sp.jedit.JEditActionContext;List;Map;0.81
Jedit;org.gjt.sp.jedit.JEditActionContext;List;Set;0.86
Jedit;org.gjt.sp.jedit.JEditActionContext;Map;List;0.87
Jedit;org.gjt.sp.jedit.JEditActionContext;Map;Set;0.94
Jedit;org.gjt.sp.jedit.JEditActionSet;List;Map;0.96
Jedit;org.gjt.sp.jedit.JEditActionSet;List;Set;0.79
Jedit;org.gjt.sp.jedit.JEditActionSet;Map;List;0.82
Jedit;org.gjt.sp.jedit.JEditActionSet;Map;Set;0.87
Jedit;org.gjt.sp.jedit.JEditActionSet;Set;List;0.92
Jedit;org.gjt.sp.jedit.JEditActionSet;Set;Map;1.0
Jedit;org.gjt.sp.jedit.JEditKillRing.KillRingHandler;List;Map;1.0
Jedit;org.gjt.sp.jedit.JEditKillRing.KillRingHandler;List;Set;0.75
Jedit;org.gjt.sp.jedit.JEditMode;Map;List;0.75
Jedit;org.gjt.sp.jedit.JEditMode;Map;Set;1.0
Jedit;org.gjt.sp.jedit.Macros;List;Map;0.86
Jedit;org.gjt.sp.jedit.Macros;List;Set;0.84
Jedit;org.gjt.sp.jedit.Macros;Map;List;0.84
Jedit;org.gjt.sp.jedit.Macros;Map;Set;0.92
Jedit;org.gjt.sp.jedit.MiscUtilities.VarCompressor;Map;List;0.92
Jedit;org.gjt.sp.jedit.MiscUtilities.VarCompressor;Map;Set;1.0
Jedit;org.gjt.sp.jedit.MiscUtilities;List;Map;0.81
Jedit;org.gjt.sp.jedit.MiscUtilities;List;Set;0.91
Jedit;org.gjt.sp.jedit.MiscUtilities;Set;List;0.83
Jedit;org.gjt.sp.jedit.MiscUtilities;Set;Map;0.92
Jedit;org.gjt.sp.jedit.Mode;List;Map;1.0
Jedit;org.gjt.sp.jedit.Mode;List;Set;0.75
Jedit;org.gjt.sp.jedit.Mode;Map;List;0.84
Jedit;org.gjt.sp.jedit.Mode;Map;Set;0.92
Jedit;org.gjt.sp.jedit.OperatingSystem;Set;List;0.8
Jedit;org.gjt.sp.jedit.OperatingSystem;Set;Map;0.97
Jedit;org.gjt.sp.jedit.OptionGroup;List;Map;0.96
Jedit;org.gjt.sp.jedit.OptionGroup;List;Set;0.96
Jedit;org.gjt.sp.jedit.PluginJAR.PluginCacheEntry;Map;List;0.96
Jedit;org.gjt.sp.jedit.PluginJAR.PluginCacheEntry;Map;Set;0.96
Jedit;org.gjt.sp.jedit.PluginJAR;List;Map;0.98
Jedit;org.gjt.sp.jedit.PluginJAR;List;Set;0.77
Jedit;org.gjt.sp.jedit.PluginJAR;Set;List;0.67
Jedit;org.gjt.sp.jedit.PluginJAR;Set;Map;0.9
Jedit;org.gjt.sp.jedit.PropertyManager;List;Map;0.89
Jedit;org.gjt.sp.jedit.PropertyManager;List;Set;0.77
Jedit;org.gjt.sp.jedit.PropertyManager;Map;List;0.89
Jedit;org.gjt.sp.jedit.PropertyManager;Map;Set;0.89
Jedit;org.gjt.sp.jedit.ServiceListHandler;List;Map;0.98
Jedit;org.gjt.sp.jedit.ServiceListHandler;List;Set;0.88
Jedit;org.gjt.sp.jedit.ServiceManager;List;Map;0.96
Jedit;org.gjt.sp.jedit.ServiceManager;List;Set;0.79
Jedit;org.gjt.sp.jedit.ServiceManager;Map;List;0.87
Jedit;org.gjt.sp.jedit.ServiceManager;Map;Set;0.94
Jedit;org.gjt.sp.jedit.ServiceManager;Set;List;0.75
Jedit;org.gjt.sp.jedit.ServiceManager;Set;Map;0.96
Jedit;org.gjt.sp.jedit.View;List;Map;0.88
Jedit;org.gjt.sp.jedit.View;List;Set;0.82
Jedit;org.gjt.sp.jedit.View;Set;List;0.77
Jedit;org.gjt.sp.jedit.View;Set;Map;1.0
Jedit;org.gjt.sp.jedit.browser.BrowserCommandsMenu;List;Map;1.0
Jedit;org.gjt.sp.jedit.browser.BrowserCommandsMenu;List;Set;0.83
