project;class;from;to;metric
Marauroa;marauroa.client.ClientFramework;List;Map;0.42
Marauroa;marauroa.client.ClientFramework;List;Set;0.0
Marauroa;marauroa.client.net.PerceptionHandler;List;Map;0.7
Marauroa;marauroa.client.net.PerceptionHandler;List;Set;0.0
Marauroa;marauroa.client.net.PerceptionHandler;Map;List;0.54
Marauroa;marauroa.client.net.PerceptionHandler;Map;Set;0.81
Marauroa;marauroa.common.Configuration;Map;List;0.76
Marauroa;marauroa.common.Configuration;Map;Set;0.77
Marauroa;marauroa.common.game.Attributes;List;Map;1.0
Marauroa;marauroa.common.game.Attributes;List;Set;0.0
Marauroa;marauroa.common.game.Attributes;Map;List;0.62
Marauroa;marauroa.common.game.Attributes;Map;Set;0.82
Marauroa;marauroa.common.game.Attributes;Set;List;0.0
Marauroa;marauroa.common.game.Attributes;Set;Map;1.0
Marauroa;marauroa.common.game.LinkedRPObjectList;List;Map;1.0
Marauroa;marauroa.common.game.LinkedRPObjectList;List;Set;0.0
Marauroa;marauroa.common.game.Perception;List;Map;0.7
Marauroa;marauroa.common.game.Perception;List;Set;0.0
Marauroa;marauroa.common.game.RPClass;List;Map;1.0
Marauroa;marauroa.common.game.RPClass;List;Set;0.0
Marauroa;marauroa.common.game.RPClass;Map;List;0.74
Marauroa;marauroa.common.game.RPClass;Map;Set;0.96
Marauroa;marauroa.common.game.RPObject;List;Map;0.62
Marauroa;marauroa.common.game.RPObject;List;Set;0.46
Marauroa;marauroa.common.game.RPObject;Map;List;0.75
Marauroa;marauroa.common.game.RPObject;Map;Set;0.97
Marauroa;marauroa.common.game.RPSlot;List;Map;0.51
Marauroa;marauroa.common.game.RPSlot;List;Set;0.6
Marauroa;marauroa.common.game.SlotOwner;List;Map;1.0
Marauroa;marauroa.common.game.SlotOwner;List;Set;0.0
Marauroa;marauroa.common.net.Decoder.MessageParts;List;Map;0.97
Marauroa;marauroa.common.net.Decoder.MessageParts;List;Set;0.56
Marauroa;marauroa.common.net.Decoder;List;Map;0.58
Marauroa;marauroa.common.net.Decoder;List;Set;0.0
Marauroa;marauroa.common.net.Decoder;Map;List;0.41
Marauroa;marauroa.common.net.Decoder;Map;Set;0.77
Marauroa;marauroa.common.net.MessageFactory;Map;List;0.72
Marauroa;marauroa.common.net.MessageFactory;Map;Set;1.0
Marauroa;marauroa.common.net.message.MessageC2STransferACK;List;Map;0.58
Marauroa;marauroa.common.net.message.MessageC2STransferACK;List;Set;0.0
Marauroa;marauroa.common.net.message.MessageS2CCharacterList;Map;List;0.66
Marauroa;marauroa.common.net.message.MessageS2CCharacterList;Map;Set;0.98
Marauroa;marauroa.common.net.message.MessageS2CCharacterList;Set;List;0.0
Marauroa;marauroa.common.net.message.MessageS2CCharacterList;Set;Map;1.0
Marauroa;marauroa.common.net.message.MessageS2CLoginACK;List;Map;0.58
Marauroa;marauroa.common.net.message.MessageS2CLoginACK;List;Set;0.0
Marauroa;marauroa.common.net.message.MessageS2CPerception.CachedCompressedPerception;Map;List;0.59
Marauroa;marauroa.common.net.message.MessageS2CPerception.CachedCompressedPerception;Map;Set;0.83
Marauroa;marauroa.common.net.message.MessageS2CPerception;List;Map;0.58
Marauroa;marauroa.common.net.message.MessageS2CPerception;List;Set;0.0
Marauroa;marauroa.common.net.message.MessageS2CTransfer;List;Map;0.58
Marauroa;marauroa.common.net.message.MessageS2CTransfer;List;Set;0.0
Marauroa;marauroa.common.net.message.MessageS2CTransferREQ;List;Map;0.58
Marauroa;marauroa.common.net.message.MessageS2CTransferREQ;List;Set;0.0
Marauroa;marauroa.server.db.DBTransaction;Map;List;0.47
Marauroa;marauroa.server.db.DBTransaction;Map;Set;1.0
Marauroa;marauroa.server.db.TransactionPool;List;Map;0.6
Marauroa;marauroa.server.db.TransactionPool;List;Set;0.0
Marauroa;marauroa.server.db.TransactionPool;Map;List;0.73
Marauroa;marauroa.server.db.TransactionPool;Map;Set;0.73
Marauroa;marauroa.server.db.TransactionPool;Set;List;0.0
Marauroa;marauroa.server.db.TransactionPool;Set;Map;0.45
Marauroa;marauroa.server.db.adapter.AbstractDatabaseAdapter;List;Map;0.61
Marauroa;marauroa.server.db.adapter.AbstractDatabaseAdapter;List;Set;0.0
Marauroa;marauroa.server.db.adapter.AbstractDatabaseAdapter;Map;List;0.55
Marauroa;marauroa.server.db.adapter.AbstractDatabaseAdapter;Map;Set;1.0
Marauroa;marauroa.server.db.command.DBCommandQueue;List;Map;1.0
Marauroa;marauroa.server.db.command.DBCommandQueue;List;Set;0.0
Marauroa;marauroa.server.game.GameServerManager;List;Map;1.0
Marauroa;marauroa.server.game.GameServerManager;List;Set;0.0
Marauroa;marauroa.server.game.Statistics.Variables;Map;List;0.54
Marauroa;marauroa.server.game.Statistics.Variables;Map;Set;0.81
Marauroa;marauroa.server.game.Statistics.Variables;Set;List;0.0
Marauroa;marauroa.server.game.Statistics.Variables;Set;Map;1.0
Marauroa;marauroa.server.game.container.PlayerEntryContainer;List;Map;1.0
Marauroa;marauroa.server.game.container.PlayerEntryContainer;List;Set;0.0
Marauroa;marauroa.server.game.container.PlayerEntryContainer;Map;List;0.65
Marauroa;marauroa.server.game.container.PlayerEntryContainer;Map;Set;0.85
Marauroa;marauroa.server.game.container.PlayerEntryContainer;Set;List;0.0
Marauroa;marauroa.server.game.container.PlayerEntryContainer;Set;Map;0.62
Marauroa;marauroa.server.game.db.AccountDAO;Map;List;1.0
Marauroa;marauroa.server.game.db.AccountDAO;Map;Set;1.0
Marauroa;marauroa.server.game.db.BanListDAO;List;Map;0.61
Marauroa;marauroa.server.game.db.BanListDAO;List;Set;0.0
Marauroa;marauroa.server.game.db.CharacterDAO;List;Map;1.0
Marauroa;marauroa.server.game.db.CharacterDAO;List;Set;0.0
Marauroa;marauroa.server.game.db.CharacterDAO;Map;List;1.0
Marauroa;marauroa.server.game.db.CharacterDAO;Map;Set;1.0
Marauroa;marauroa.server.game.db.DAORegister;Map;List;0.55
Marauroa;marauroa.server.game.db.DAORegister;Map;Set;1.0
Marauroa;marauroa.server.game.db.GameEventDAO;Map;List;1.0
Marauroa;marauroa.server.game.db.GameEventDAO;Map;Set;1.0
Marauroa;marauroa.server.game.db.LoginEventDAO;List;Map;1.0
Marauroa;marauroa.server.game.db.LoginEventDAO;List;Set;0.0
Marauroa;marauroa.server.game.db.LoginEventDAO;Map;List;1.0
Marauroa;marauroa.server.game.db.LoginEventDAO;Map;Set;1.0
Marauroa;marauroa.server.game.db.LoginSeedDAO;Map;List;1.0
Marauroa;marauroa.server.game.db.LoginSeedDAO;Map;Set;1.0
Marauroa;marauroa.server.game.db.RPObjectDAO;Map;List;1.0
Marauroa;marauroa.server.game.db.RPObjectDAO;Map;Set;1.0
Marauroa;marauroa.server.game.db.RPZoneDAO;Map;List;1.0
Marauroa;marauroa.server.game.db.RPZoneDAO;Map;Set;1.0
Marauroa;marauroa.server.game.db.StatisticsDAO;Map;List;1.0
Marauroa;marauroa.server.game.db.StatisticsDAO;Map;Set;1.0
Marauroa;marauroa.server.game.messagehandler.MessageDispatcher;Map;List;0.68
Marauroa;marauroa.server.game.messagehandler.MessageDispatcher;Map;Set;1.0
Marauroa;marauroa.server.game.messagehandler.SecuredLoginHandler.ServerInfo;List;Map;0.97
Marauroa;marauroa.server.game.messagehandler.SecuredLoginHandler.ServerInfo;List;Set;0.0
Marauroa;marauroa.server.game.rp.MarauroaRPZone;List;Map;1.0
Marauroa;marauroa.server.game.rp.MarauroaRPZone;List;Set;0.0
Marauroa;marauroa.server.game.rp.MarauroaRPZone;Map;List;0.65
