project;class;from;to;metric
PMD;java.lang.Object;List;Map;0.0
PMD;java.lang.Object;List;Set;0.85
PMD;net.sourceforge.pmd.AbstractJavaRule;List;Map;1.0
PMD;net.sourceforge.pmd.AbstractJavaRule;List;Set;0.0
PMD;net.sourceforge.pmd.AbstractRuleChainVisitor;List;Map;0.51
PMD;net.sourceforge.pmd.AbstractRuleChainVisitor;List;Set;0.6
PMD;net.sourceforge.pmd.AbstractRuleChainVisitor;Map;List;0.78
PMD;net.sourceforge.pmd.AbstractRuleChainVisitor;Map;Set;1.0
PMD;net.sourceforge.pmd.AbstractRuleChainVisitor;Set;List;0.0
PMD;net.sourceforge.pmd.AbstractRuleChainVisitor;Set;Map;1.0
PMD;net.sourceforge.pmd.CommonAbstractRule;List;Map;0.57
PMD;net.sourceforge.pmd.CommonAbstractRule;List;Set;0.46
PMD;net.sourceforge.pmd.CommonAbstractRule;Map;List;0.57
PMD;net.sourceforge.pmd.CommonAbstractRule;Map;Set;0.83
PMD;net.sourceforge.pmd.Language;Map;List;0.55
PMD;net.sourceforge.pmd.Language;Map;Set;1.0
PMD;net.sourceforge.pmd.PMD.PmdThreadFactory;List;Map;1.0
PMD;net.sourceforge.pmd.PMD.PmdThreadFactory;List;Set;0.0
PMD;net.sourceforge.pmd.PMD;List;Map;0.42
PMD;net.sourceforge.pmd.PMD;List;Set;0.0
PMD;net.sourceforge.pmd.Report;List;Map;0.97
PMD;net.sourceforge.pmd.Report;List;Set;0.0
PMD;net.sourceforge.pmd.Report;Map;List;0.72
PMD;net.sourceforge.pmd.Report;Map;Set;1.0
PMD;net.sourceforge.pmd.Report;Set;List;0.0
PMD;net.sourceforge.pmd.Report;Set;Map;0.94
PMD;net.sourceforge.pmd.RuleChain;Map;List;0.55
PMD;net.sourceforge.pmd.RuleChain;Map;Set;1.0
PMD;net.sourceforge.pmd.RuleContext;Map;List;0.59
PMD;net.sourceforge.pmd.RuleContext;Map;Set;0.83
PMD;net.sourceforge.pmd.RuleReference;List;Map;0.61
PMD;net.sourceforge.pmd.RuleReference;List;Set;0.0
PMD;net.sourceforge.pmd.RuleReference;Map;List;1.0
PMD;net.sourceforge.pmd.RuleReference;Map;Set;1.0
PMD;net.sourceforge.pmd.RuleSet;List;Map;0.97
PMD;net.sourceforge.pmd.RuleSet;List;Set;0.0
PMD;net.sourceforge.pmd.RuleSetFactory;Map;List;1.0
PMD;net.sourceforge.pmd.RuleSetFactory;Map;Set;1.0
PMD;net.sourceforge.pmd.RuleSetFactory;Set;List;0.0
PMD;net.sourceforge.pmd.RuleSetFactory;Set;Map;1.0
