project;class;from;to;metric
Quartz;org.quartz.CronExpression;List;Map;1.0
Quartz;org.quartz.CronExpression;List;Set;0.0
Quartz;org.quartz.CronExpression;Map;List;0.0
Quartz;org.quartz.CronExpression;Map;Set;1.0
Quartz;org.quartz.CronExpression;Set;List;0.32
Quartz;org.quartz.CronExpression;Set;Map;0.98
Quartz;org.quartz.JobDetail;Set;List;0.0
Quartz;org.quartz.JobDetail;Set;Map;0.71
Quartz;org.quartz.JobExecutionContext;Map;List;0.55
Quartz;org.quartz.JobExecutionContext;Map;Set;1.0
Quartz;org.quartz.Trigger;List;Map;0.8
Quartz;org.quartz.Trigger;List;Set;0.0
Quartz;org.quartz.TriggerListener;Map;List;1.0
Quartz;org.quartz.TriggerListener;Map;Set;1.0
Quartz;org.quartz.TriggerUtils;List;Map;1.0
Quartz;org.quartz.TriggerUtils;List;Set;0.0
Quartz;org.quartz.core.ExecutingJobsManager;Map;List;0.7
Quartz;org.quartz.core.ExecutingJobsManager;Map;Set;0.71
Quartz;org.quartz.core.QuartzScheduler;List;Map;0.73
Quartz;org.quartz.core.QuartzScheduler;List;Set;0.0
Quartz;org.quartz.core.QuartzScheduler;Map;List;0.54
Quartz;org.quartz.core.QuartzScheduler;Map;Set;0.81
Quartz;org.quartz.core.QuartzSchedulerMBeanImpl;List;Map;0.97
Quartz;org.quartz.core.QuartzSchedulerMBeanImpl;List;Set;0.0
Quartz;org.quartz.core.QuartzSchedulerMBeanImpl;Map;List;1.0
Quartz;org.quartz.core.QuartzSchedulerMBeanImpl;Map;Set;1.0
Quartz;org.quartz.core.QuartzSchedulerResources;List;Map;1.0
Quartz;org.quartz.core.QuartzSchedulerResources;List;Set;0.0
Quartz;org.quartz.core.jmx.JobDataMapSupport;List;Map;0.97
Quartz;org.quartz.core.jmx.JobDataMapSupport;List;Set;0.0
Quartz;org.quartz.core.jmx.JobDataMapSupport;Set;List;0.0
Quartz;org.quartz.core.jmx.JobDataMapSupport;Set;Map;1.0
Quartz;org.quartz.core.jmx.JobDetailSupport;List;Map;0.97
Quartz;org.quartz.core.jmx.JobDetailSupport;List;Set;0.0
Quartz;org.quartz.core.jmx.JobExecutionContextSupport;List;Map;0.97
Quartz;org.quartz.core.jmx.JobExecutionContextSupport;List;Set;0.0
Quartz;org.quartz.core.jmx.TriggerSupport;List;Map;0.97
Quartz;org.quartz.core.jmx.TriggerSupport;List;Set;0.0
Quartz;org.quartz.impl.DirectSchedulerFactory;Map;List;1.0
Quartz;org.quartz.impl.DirectSchedulerFactory;Map;Set;1.0
Quartz;org.quartz.impl.DirectSchedulerFactory;Set;List;0.0
Quartz;org.quartz.impl.DirectSchedulerFactory;Set;Map;1.0
Quartz;org.quartz.impl.RemoteMBeanScheduler;List;Map;0.0
Quartz;org.quartz.impl.RemoteMBeanScheduler;List;Set;1.0
Quartz;org.quartz.impl.SchedulerRepository;Map;List;0.54
Quartz;org.quartz.impl.SchedulerRepository;Map;Set;0.81
Quartz;org.quartz.impl.StdSchedulerFactory;Map;List;0.73
Quartz;org.quartz.impl.StdSchedulerFactory;Map;Set;0.73
Quartz;org.quartz.impl.StdSchedulerFactory;Set;List;0.0
Quartz;org.quartz.impl.StdSchedulerFactory;Set;Map;1.0
Quartz;org.quartz.impl.calendar.AnnualCalendar;List;Map;0.73
Quartz;org.quartz.impl.calendar.AnnualCalendar;List;Set;0.0
Quartz;org.quartz.impl.calendar.DailyCalendar;List;Map;0.97
Quartz;org.quartz.impl.calendar.DailyCalendar;List;Set;0.0
Quartz;org.quartz.impl.calendar.HolidayCalendar;Set;List;0.0
Quartz;org.quartz.impl.calendar.HolidayCalendar;Set;Map;0.77
Quartz;org.quartz.impl.jdbcjobstore.DBSemaphore;Set;List;0.0
Quartz;org.quartz.impl.jdbcjobstore.DBSemaphore;Set;Map;0.77
Quartz;org.quartz.impl.jdbcjobstore.JTANonClusteredSemaphore;Set;List;0.0
Quartz;org.quartz.impl.jdbcjobstore.JTANonClusteredSemaphore;Set;Map;0.77
Quartz;org.quartz.impl.jdbcjobstore.JobStoreSupport;List;Map;0.64
Quartz;org.quartz.impl.jdbcjobstore.JobStoreSupport;List;Set;0.6
Quartz;org.quartz.impl.jdbcjobstore.JobStoreSupport;Map;List;0.41
Quartz;org.quartz.impl.jdbcjobstore.JobStoreSupport;Map;Set;0.77
Quartz;org.quartz.impl.jdbcjobstore.JobStoreSupport;Set;List;0.0
Quartz;org.quartz.impl.jdbcjobstore.JobStoreSupport;Set;Map;0.71
Quartz;org.quartz.impl.jdbcjobstore.SimpleSemaphore;Set;List;0.0
Quartz;org.quartz.impl.jdbcjobstore.SimpleSemaphore;Set;Map;0.77
Quartz;org.quartz.impl.jdbcjobstore.StdJDBCDelegate;List;Map;0.97
Quartz;org.quartz.impl.jdbcjobstore.StdJDBCDelegate;List;Set;0.0
Quartz;org.quartz.impl.jdbcjobstore.StdJDBCDelegate;Map;List;1.0
Quartz;org.quartz.impl.jdbcjobstore.StdJDBCDelegate;Map;Set;1.0
Quartz;org.quartz.impl.jdbcjobstore.StdJDBCDelegate;Set;List;0.0
Quartz;org.quartz.impl.jdbcjobstore.StdJDBCDelegate;Set;Map;1.0
Quartz;org.quartz.jobs.ee.ejb.EJBInvokerJob;Map;List;0.58
Quartz;org.quartz.jobs.ee.ejb.EJBInvokerJob;Map;Set;0.62
Quartz;org.quartz.jobs.ee.jms.JmsHelper;Map;List;0.58
Quartz;org.quartz.jobs.ee.jms.JmsHelper;Map;Set;0.62
Quartz;org.quartz.jobs.ee.jmx.JMXInvokerJob;List;Map;0.66
Quartz;org.quartz.jobs.ee.jmx.JMXInvokerJob;List;Set;0.6
Quartz;org.quartz.jobs.ee.mail.SendMailJob;Map;List;1.0
Quartz;org.quartz.jobs.ee.mail.SendMailJob;Map;Set;1.0
Quartz;org.quartz.listeners.BroadcastSchedulerListener;List;Map;0.73
Quartz;org.quartz.listeners.BroadcastSchedulerListener;List;Set;0.0
Quartz;org.quartz.listeners.FilterAndBroadcastJobListener;List;Map;0.7
Quartz;org.quartz.listeners.FilterAndBroadcastJobListener;List;Set;0.0
