project;class;from;to;metric
Quickserver;;List;Map;0.93
Quickserver;;List;Set;0.0
Quickserver;java.lang.Object;List;Map;1.0
Quickserver;java.lang.Object;List;Set;0.0
Quickserver;java.lang.Object;Map;List;0.0
Quickserver;java.lang.Object;Map;Set;1.0
Quickserver;java.lang.Thread;List;Map;1.0
Quickserver;java.lang.Thread;List;Set;0.0
Quickserver;org.quickserver.net.qsadmin.gui.PropertiePanel;List;Map;1.0
Quickserver;org.quickserver.net.qsadmin.gui.PropertiePanel;List;Set;0.0
Quickserver;org.quickserver.net.qsadmin.gui.PropertieSet;List;Map;1.0
Quickserver;org.quickserver.net.qsadmin.gui.PropertieSet;List;Set;0.0
Quickserver;org.quickserver.net.qsadmin.gui.PropertieSet;Map;List;1.0
Quickserver;org.quickserver.net.qsadmin.gui.PropertieSet;Map;Set;1.0
Quickserver;org.quickserver.net.qsadmin.gui.QSAdminGUI;List;Map;1.0
Quickserver;org.quickserver.net.qsadmin.gui.QSAdminGUI;List;Set;0.0
Quickserver;org.quickserver.net.qsadmin.gui.QSAdminGUI;Map;List;0.55
Quickserver;org.quickserver.net.qsadmin.gui.QSAdminGUI;Map;Set;1.0
Quickserver;org.quickserver.net.qsadmin.gui.QSAdminMain;List;Map;0.38
Quickserver;org.quickserver.net.qsadmin.gui.QSAdminMain;List;Set;0.0
Quickserver;org.quickserver.net.qsadmin.gui.SimpleCommandSet;List;Map;1.0
Quickserver;org.quickserver.net.qsadmin.gui.SimpleCommandSet;List;Set;0.0
Quickserver;org.quickserver.net.qsadmin.gui.SimpleCommandSet;Map;List;1.0
Quickserver;org.quickserver.net.qsadmin.gui.SimpleCommandSet;Map;Set;1.0
Quickserver;org.quickserver.net.server.GhostSocketReaper;List;Map;0.31
Quickserver;org.quickserver.net.server.GhostSocketReaper;List;Set;0.6
Quickserver;org.quickserver.net.server.QuickServer;List;Map;1.0
Quickserver;org.quickserver.net.server.QuickServer;List;Set;0.0
Quickserver;org.quickserver.net.server.QuickServer;Map;List;0.52
Quickserver;org.quickserver.net.server.QuickServer;Map;Set;0.8
Quickserver;org.quickserver.net.server.QuickServer;Set;List;0.0
Quickserver;org.quickserver.net.server.QuickServer;Set;Map;0.92
Quickserver;org.quickserver.net.server.impl.BasicClientHandler;List;Map;0.31
Quickserver;org.quickserver.net.server.impl.BasicClientHandler;List;Set;0.6
Quickserver;org.quickserver.net.server.impl.BasicClientHandler;Map;List;0.55
Quickserver;org.quickserver.net.server.impl.BasicClientHandler;Map;Set;1.0
Quickserver;org.quickserver.net.server.impl.BasicClientHandler;Set;List;0.0
Quickserver;org.quickserver.net.server.impl.BasicClientHandler;Set;Map;0.62
Quickserver;org.quickserver.net.server.impl.BlockingClientHandler;List;Map;0.0
Quickserver;org.quickserver.net.server.impl.BlockingClientHandler;List;Set;0.0
Quickserver;org.quickserver.net.server.impl.BlockingClientHandler;Set;List;0.0
Quickserver;org.quickserver.net.server.impl.BlockingClientHandler;Set;Map;0.0
Quickserver;org.quickserver.net.server.impl.NonBlockingClientHandler;List;Map;0.42
Quickserver;org.quickserver.net.server.impl.NonBlockingClientHandler;List;Set;0.0
Quickserver;org.quickserver.net.server.impl.NonBlockingClientHandler;Set;List;0.0
Quickserver;org.quickserver.net.server.impl.NonBlockingClientHandler;Set;Map;0.0
Quickserver;org.quickserver.net.server.impl.OptimisticClientIdentifier;List;Map;1.0
Quickserver;org.quickserver.net.server.impl.OptimisticClientIdentifier;List;Set;0.0
Quickserver;org.quickserver.net.server.impl.SyncClientIdentifier;List;Map;1.0
Quickserver;org.quickserver.net.server.impl.SyncClientIdentifier;List;Set;0.0
Quickserver;org.quickserver.util.ClassUtil;List;Map;1.0
Quickserver;org.quickserver.util.ClassUtil;List;Set;0.0
Quickserver;org.quickserver.util.ClassUtil;Map;List;1.0
Quickserver;org.quickserver.util.ClassUtil;Map;Set;1.0
Quickserver;org.quickserver.util.TextFile;List;Map;0.0
Quickserver;org.quickserver.util.TextFile;List;Set;0.85
Quickserver;org.quickserver.util.io.ByteBufferInputStream;List;Map;0.31
Quickserver;org.quickserver.util.io.ByteBufferInputStream;List;Set;0.6
Quickserver;org.quickserver.util.io.ByteBufferOutputStream;List;Map;0.42
Quickserver;org.quickserver.util.io.ByteBufferOutputStream;List;Set;0.0
Quickserver;org.quickserver.util.pool.BasicObjectPool;List;Map;1.0
Quickserver;org.quickserver.util.pool.BasicObjectPool;List;Set;0.0
Quickserver;org.quickserver.util.pool.BasicObjectPool;Set;List;0.0
Quickserver;org.quickserver.util.pool.BasicObjectPool;Set;Map;0.71
Quickserver;org.quickserver.util.pool.MakeQSObjectPool;List;Map;0.73
Quickserver;org.quickserver.util.pool.MakeQSObjectPool;List;Set;0.0
Quickserver;org.quickserver.util.pool.thread.ClientPool;List;Map;0.42
Quickserver;org.quickserver.util.pool.thread.ClientPool;List;Set;0.0
Quickserver;org.quickserver.util.pool.thread.ClientThread;Map;List;0.55
Quickserver;org.quickserver.util.pool.thread.ClientThread;Map;Set;1.0
Quickserver;org.quickserver.util.xmlreader.AccessConstraintConfig;List;Map;1.0
Quickserver;org.quickserver.util.xmlreader.AccessConstraintConfig;List;Set;0.0
Quickserver;org.quickserver.util.xmlreader.ApplicationConfiguration;Map;List;0.68
Quickserver;org.quickserver.util.xmlreader.ApplicationConfiguration;Map;Set;1.0
Quickserver;org.quickserver.util.xmlreader.ApplicationConfiguration;Set;List;0.0
Quickserver;org.quickserver.util.xmlreader.ApplicationConfiguration;Set;Map;1.0
Quickserver;org.quickserver.util.xmlreader.ConfigReader;Map;List;0.68
Quickserver;org.quickserver.util.xmlreader.ConfigReader;Map;Set;1.0
Quickserver;org.quickserver.util.xmlreader.ConfigReader;Set;List;0.0
Quickserver;org.quickserver.util.xmlreader.ConfigReader;Set;Map;1.0
Quickserver;org.quickserver.util.xmlreader.DatabaseConnectionSet;List;Map;1.0
Quickserver;org.quickserver.util.xmlreader.DatabaseConnectionSet;List;Set;0.0
Quickserver;org.quickserver.util.xmlreader.InitServerHooks;List;Map;1.0
Quickserver;org.quickserver.util.xmlreader.InitServerHooks;List;Set;0.0
Quickserver;org.quickserver.util.xmlreader.IpFilterConfig;List;Map;1.0
Quickserver;org.quickserver.util.xmlreader.IpFilterConfig;List;Set;0.0
Quickserver;org.quickserver.util.xmlreader.ServerHooks;List;Map;1.0
Quickserver;org.quickserver.util.xmlreader.ServerHooks;List;Set;0.0
