project,from,to,metric
Collection,List,Map,0.77
Collection,List,Set,0.46
Collection,Map,List,0.72
Collection,Map,Set,0.85
Collection,Set,List,0.09
Collection,Set,Map,0.94
Freecs,List,Map,0.79
Freecs,List,Set,0.2
Freecs,Map,List,0.64
Freecs,Map,Set,0.85
Freecs,Set,List,0.0
Freecs,Set,Map,0.99
Jedit,List,Map,0.59
Jedit,List,Set,0.38
Jedit,Map,List,0.55
Jedit,Map,Set,0.91
Jedit,Set,List,0.0
Jedit,Set,Map,0.82
Jext,List,Map,0.43
Jext,List,Set,0.48
Jext,Map,List,0.62
Jext,Map,Set,0.88
Jext,Set,List,0.17
Jext,Set,Map,0.99
JFreechart,List,Map,0.62
JFreechart,List,Set,0.41
JFreechart,Map,List,0.65
JFreechart,Map,Set,0.91
JFreechart,Set,List,0.0
JFreechart,Set,Map,0.93
JGrapht,List,Map,0.57
JGrapht,List,Set,0.4
JGrapht,Map,List,0.65
JGrapht,Map,Set,0.96
JGrapht,Set,List,0.0
JGrapht,Set,Map,0.7
Marauroa,List,Map,0.74
Marauroa,List,Set,0.07
Marauroa,Map,List,0.73
Marauroa,Map,Set,0.91
Marauroa,Set,List,0.0
Marauroa,Set,Map,0.81
PMD,List,Map,0.49
PMD,List,Set,0.37
PMD,Map,List,0.73
PMD,Map,Set,0.97
PMD,Set,List,0.01
PMD,Set,Map,0.93
Quartz,List,Map,0.82
Quartz,List,Set,0.16
Quartz,Map,List,0.7
Quartz,Map,Set,0.9
Quartz,Set,List,0.04
Quartz,Set,Map,0.88
Quickserver,List,Map,0.75
Quickserver,List,Set,0.1
Quickserver,Map,List,0.65
Quickserver,Map,Set,0.98
Quickserver,Set,List,0.0
Quickserver,Set,Map,0.61
