project;interface;category;method;count
collections;java.util.List;other;iterator;26
collections;java.util.List;other;size;52
collections;java.util.List;other;toArray;20
collections;java.util.List;other;equals;3
collections;java.util.List;other;listIterator;34
collections;java.util.List;other;isEmpty;14
collections;java.util.List;search;contains;7
collections;java.util.List;search;indexOf;15
collections;java.util.List;search;lastIndexOf;9
collections;java.util.List;search;containsAll;2
collections;java.util.List;insertion;add;61
collections;java.util.List;insertion;addAll;20
collections;java.util.List;insertion;set;19
collections;java.util.List;deletion;remove;28
collections;java.util.List;deletion;retainAll;5
collections;java.util.List;deletion;clear;8
collections;java.util.List;deletion;removeAll;4
collections;java.util.List;access;get;37
collections;java.util.Map;insertion;putAll;13
collections;java.util.Map;insertion;put;67
collections;java.util.Map;access;get;82
collections;java.util.Map;access;firstKey;10
collections;java.util.Map;access;lastKey;11
collections;java.util.Map;other;size;53
collections;java.util.Map;other;isEmpty;16
collections;java.util.Map;other;keySet;37
collections;java.util.Map;other;entrySet;60
collections;java.util.Map;other;equals;4
collections;java.util.Map;other;values;10
collections;java.util.Map;other;comparator;12
collections;java.util.Map;search;containsKey;46
collections;java.util.Map;search;containsValue;8
collections;java.util.Map;search;subMap;11
collections;java.util.Map;search;headMap;12
collections;java.util.Map;search;tailMap;12
collections;java.util.Map;deletion;remove;38
collections;java.util.Map;deletion;clear;16
collections;java.util.Set;search;first;4
collections;java.util.Set;search;last;4
collections;java.util.Set;search;subSet;5
collections;java.util.Set;search;headSet;5
collections;java.util.Set;search;tailSet;5
collections;java.util.Set;search;containsAll;5
collections;java.util.Set;search;contains;6
collections;java.util.Set;other;comparator;4
collections;java.util.Set;other;iterator;86
collections;java.util.Set;other;toArray;4
collections;java.util.Set;other;equals;6
collections;java.util.Set;other;size;2
collections;java.util.Set;deletion;removeAll;2
collections;java.util.Set;deletion;retainAll;2
collections;java.util.Set;deletion;remove;6
collections;java.util.Set;deletion;clear;1
collections;java.util.Set;insertion;add;3
collections;java.util.Set;insertion;addAll;3
freecs;java.util.List;insertion;add;77
freecs;java.util.List;insertion;push;1
freecs;java.util.List;insertion;addAll;4
freecs;java.util.List;other;toArray;48
freecs;java.util.List;other;size;93
freecs;java.util.List;other;iterator;41
freecs;java.util.List;other;isEmpty;1
freecs;java.util.List;search;contains;72
freecs;java.util.List;search;indexOf;7
freecs;java.util.List;deletion;remove;17
freecs;java.util.List;deletion;pop;4
freecs;java.util.List;deletion;removeAll;22
freecs;java.util.List;access;get;15
freecs;java.util.Map;other;size;16
freecs;java.util.Map;other;keySet;18
freecs;java.util.Map;other;values;6
freecs;java.util.Map;other;entrySet;4
freecs;java.util.Map;access;get;74
freecs;java.util.Map;insertion;put;68
freecs;java.util.Map;insertion;putAll;1
freecs;java.util.Map;deletion;remove;43
freecs;java.util.Map;deletion;clear;1
freecs;java.util.Map;search;containsKey;24
freecs;java.util.Set;other;iterator;26
freecs;java.util.Set;other;isEmpty;2
freecs;java.util.Set;other;size;3
freecs;java.util.Set;other;toArray;1
freecs;java.util.Set;insertion;add;155
freecs;java.util.Set;search;contains;8
freecs;java.util.Set;deletion;removeAll;1
jedit;java.util.List;insertion;add;208
jedit;java.util.List;insertion;addAll;15
jedit;java.util.List;insertion;push;24
jedit;java.util.List;insertion;addFirst;1
jedit;java.util.List;insertion;addLast;1
jedit;java.util.List;insertion;set;2
jedit;java.util.List;other;toArray;46
jedit;java.util.List;other;size;256
jedit;java.util.List;other;isEmpty;58
jedit;java.util.List;other;iterator;35
jedit;java.util.List;other;listIterator;5
jedit;java.util.List;search;indexOf;5
jedit;java.util.List;search;contains;17
jedit;java.util.List;access;get;164
jedit;java.util.List;access;peek;10
jedit;java.util.List;deletion;remove;35
jedit;java.util.List;deletion;clear;21
jedit;java.util.List;deletion;pop;31
jedit;java.util.List;deletion;removeAll;1
jedit;java.util.List;deletion;removeLast;1
jedit;java.util.Map;other;keySet;22
jedit;java.util.Map;other;values;9
jedit;java.util.Map;other;size;10
jedit;java.util.Map;other;entrySet;9
jedit;java.util.Map;other;isEmpty;3
jedit;java.util.Map;insertion;put;247
jedit;java.util.Map;insertion;putAll;8
jedit;java.util.Map;deletion;remove;46
jedit;java.util.Map;deletion;clear;8
jedit;java.util.Map;access;get;147
jedit;java.util.Map;search;containsKey;7
jedit;java.util.Map;search;tailMap;2
jedit;java.util.Set;other;toArray;8
jedit;java.util.Set;other;iterator;14
jedit;java.util.Set;other;size;9
jedit;java.util.Set;other;isEmpty;4
jedit;java.util.Set;insertion;add;36
jedit;java.util.Set;insertion;addAll;13
jedit;java.util.Set;search;contains;15
jedit;java.util.Set;deletion;remove;6
jedit;java.util.Set;deletion;clear;4
jedit;java.util.Set;deletion;removeAll;1
jext;java.util.List;other;size;107
jext;java.util.List;other;iterator;15
jext;java.util.List;other;toArray;7
jext;java.util.List;other;isEmpty;3
jext;java.util.List;access;get;65
jext;java.util.List;access;peek;19
jext;java.util.List;insertion;add;47
jext;java.util.List;insertion;push;23
jext;java.util.List;insertion;addAll;1
jext;java.util.List;deletion;clear;3
jext;java.util.List;deletion;remove;6
jext;java.util.List;deletion;pop;15
jext;java.util.List;deletion;removeAll;1
jext;java.util.List;search;indexOf;7
jext;java.util.List;search;contains;2
jext;java.util.Map;insertion;put;81
jext;java.util.Map;insertion;putAll;1
jext;java.util.Map;search;containsKey;3
jext;java.util.Map;search;contains;3
jext;java.util.Map;other;keySet;1
jext;java.util.Map;other;values;2
jext;java.util.Map;other;size;4
jext;java.util.Map;other;entrySet;2
jext;java.util.Map;access;get;53
jext;java.util.Map;deletion;remove;9
jext;java.util.Map;deletion;clear;4
jext;java.util.Set;other;toArray;1
jext;java.util.Set;other;size;6
jext;java.util.Set;other;iterator;4
jext;java.util.Set;insertion;add;4
jext;java.util.Set;search;first;8
jfreechart;java.util.List;insertion;add;240
jfreechart;java.util.List;insertion;set;6
jfreechart;java.util.List;insertion;push;4
jfreechart;java.util.List;insertion;addAll;15
jfreechart;java.util.List;deletion;remove;88
jfreechart;java.util.List;deletion;clear;58
jfreechart;java.util.List;deletion;pop;2
jfreechart;java.util.List;other;size;225
jfreechart;java.util.List;other;equals;28
jfreechart;java.util.List;other;iterator;148
jfreechart;java.util.List;other;toArray;5
jfreechart;java.util.List;other;listIterator;3
jfreechart;java.util.List;other;isEmpty;12
jfreechart;java.util.List;access;get;318
jfreechart;java.util.List;access;peek;1
jfreechart;java.util.List;search;indexOf;21
jfreechart;java.util.List;search;contains;24
jfreechart;java.util.Map;other;size;12
jfreechart;java.util.Map;other;values;1
jfreechart;java.util.Map;other;equals;3
jfreechart;java.util.Map;other;keySet;17
jfreechart;java.util.Map;other;entrySet;5
jfreechart;java.util.Map;access;get;74
jfreechart;java.util.Map;insertion;put;56
jfreechart;java.util.Map;insertion;putAll;4
jfreechart;java.util.Map;deletion;clear;13
jfreechart;java.util.Map;deletion;remove;4
jfreechart;java.util.Map;search;containsKey;2
jfreechart;java.util.Set;insertion;add;6
jfreechart;java.util.Set;search;contains;4
jfreechart;java.util.Set;other;iterator;27
jfreechart;java.util.Set;other;size;5
jfreechart;java.util.Set;deletion;clear;3
jfreechart;java.util.Set;deletion;remove;1
jgrapht;java.util.List;insertion;add;59
jgrapht;java.util.List;insertion;set;8
jgrapht;java.util.List;insertion;push;3
jgrapht;java.util.List;insertion;addAll;3
jgrapht;java.util.List;insertion;addFirst;1
jgrapht;java.util.List;other;size;41
jgrapht;java.util.List;other;isEmpty;5
jgrapht;java.util.List;other;toArray;2
jgrapht;java.util.List;other;listIterator;1
jgrapht;java.util.List;other;iterator;10
jgrapht;java.util.List;access;get;72
jgrapht;java.util.List;access;getFirst;2
jgrapht;java.util.List;deletion;clear;1
jgrapht;java.util.List;deletion;removeFirst;4
jgrapht;java.util.List;deletion;remove;12
jgrapht;java.util.List;deletion;pop;1
jgrapht;java.util.List;search;contains;2
jgrapht;java.util.List;search;indexOf;1
jgrapht;java.util.Map;insertion;put;49
jgrapht;java.util.Map;access;get;49
jgrapht;java.util.Map;other;values;3
jgrapht;java.util.Map;other;size;1
jgrapht;java.util.Map;other;keySet;5
jgrapht;java.util.Map;other;entrySet;2
jgrapht;java.util.Map;deletion;remove;9
jgrapht;java.util.Map;deletion;clear;5
jgrapht;java.util.Map;search;containsKey;13
jgrapht;java.util.Set;other;iterator;48
jgrapht;java.util.Set;other;size;54
jgrapht;java.util.Set;other;toArray;1
jgrapht;java.util.Set;other;isEmpty;9
jgrapht;java.util.Set;other;equals;2
jgrapht;java.util.Set;insertion;add;54
jgrapht;java.util.Set;insertion;addAll;17
jgrapht;java.util.Set;deletion;clear;3
jgrapht;java.util.Set;deletion;remove;18
jgrapht;java.util.Set;search;contains;28
marauroa;java.util.List;deletion;clear;24
marauroa;java.util.List;deletion;remove;13
marauroa;java.util.List;insertion;add;87
marauroa;java.util.List;insertion;addAll;2
marauroa;java.util.List;insertion;set;1
marauroa;java.util.List;other;iterator;22
marauroa;java.util.List;other;isEmpty;9
marauroa;java.util.List;other;size;21
marauroa;java.util.List;other;toArray;1
marauroa;java.util.List;other;equals;4
marauroa;java.util.List;search;contains;4
marauroa;java.util.List;access;get;3
marauroa;java.util.Map;other;values;28
marauroa;java.util.Map;other;entrySet;14
marauroa;java.util.Map;other;size;9
marauroa;java.util.Map;other;keySet;9
marauroa;java.util.Map;other;isEmpty;7
marauroa;java.util.Map;other;equals;6
marauroa;java.util.Map;deletion;clear;12
marauroa;java.util.Map;deletion;remove;18
marauroa;java.util.Map;insertion;put;134
marauroa;java.util.Map;insertion;putAll;8
marauroa;java.util.Map;access;get;56
marauroa;java.util.Map;search;containsKey;23
marauroa;java.util.Set;deletion;remove;3
marauroa;java.util.Set;deletion;clear;2
marauroa;java.util.Set;insertion;add;3
marauroa;java.util.Set;other;isEmpty;1
marauroa;java.util.Set;other;iterator;4
marauroa;java.util.Set;other;size;1
marauroa;java.util.Set;other;toArray;1
pmd;java.util.List;deletion;clear;15
pmd;java.util.List;deletion;remove;25
pmd;java.util.List;deletion;pop;8
pmd;java.util.List;deletion;removeLast;1
pmd;java.util.List;insertion;add;169
pmd;java.util.List;insertion;addAll;11
pmd;java.util.List;insertion;push;9
pmd;java.util.List;insertion;addFirst;1
pmd;java.util.List;insertion;addLast;3
pmd;java.util.List;other;size;151
pmd;java.util.List;other;isEmpty;55
pmd;java.util.List;other;iterator;23
pmd;java.util.List;other;listIterator;1
pmd;java.util.List;other;toArray;6
pmd;java.util.List;access;get;149
pmd;java.util.List;access;peek;10
pmd;java.util.List;access;getLast;10
pmd;java.util.List;access;getFirst;1
pmd;java.util.List;search;contains;14
pmd;java.util.List;search;indexOf;3
pmd;java.util.Map;insertion;put;180
pmd;java.util.Map;insertion;putAll;2
pmd;java.util.Map;other;entrySet;22
pmd;java.util.Map;other;values;4
pmd;java.util.Map;other;size;5
pmd;java.util.Map;other;keySet;34
pmd;java.util.Map;other;isEmpty;11
pmd;java.util.Map;other;equals;1
pmd;java.util.Map;access;get;56
pmd;java.util.Map;deletion;remove;2
pmd;java.util.Map;deletion;clear;4
pmd;java.util.Map;search;containsKey;24
pmd;java.util.Map;search;containsValue;2
pmd;java.util.Set;insertion;add;72
pmd;java.util.Set;insertion;addAll;3
pmd;java.util.Set;other;size;12
pmd;java.util.Set;other;isEmpty;10
pmd;java.util.Set;other;toArray;2
pmd;java.util.Set;other;iterator;18
pmd;java.util.Set;search;first;1
pmd;java.util.Set;search;last;1
pmd;java.util.Set;search;contains;35
pmd;java.util.Set;deletion;clear;8
pmd;java.util.Set;deletion;remove;5
pmd;java.util.Set;deletion;removeAll;1
quartz;java.util.List;insertion;add;77
quartz;java.util.List;insertion;addAll;4
quartz;java.util.List;other;toArray;28
quartz;java.util.List;other;size;45
quartz;java.util.List;other;iterator;75
quartz;java.util.List;other;isEmpty;1
quartz;java.util.List;access;get;14
quartz;java.util.List;access;getFirst;1
quartz;java.util.List;deletion;remove;14
quartz;java.util.List;deletion;removeFirst;1
quartz;java.util.List;deletion;clear;8
quartz;java.util.List;search;contains;9
quartz;java.util.Map;other;entrySet;6
quartz;java.util.Map;other;isEmpty;4
quartz;java.util.Map;other;equals;1
quartz;java.util.Map;other;keySet;7
quartz;java.util.Map;other;size;13
quartz;java.util.Map;other;values;10
quartz;java.util.Map;deletion;clear;1
quartz;java.util.Map;deletion;remove;21
quartz;java.util.Map;search;containsKey;1
quartz;java.util.Map;search;containsValue;1
quartz;java.util.Map;access;get;41
quartz;java.util.Map;insertion;put;67
quartz;java.util.Map;insertion;putAll;2
quartz;java.util.Set;other;toArray;3
quartz;java.util.Set;other;iterator;14
quartz;java.util.Set;other;size;10
quartz;java.util.Set;other;isEmpty;1
quartz;java.util.Set;insertion;add;31
quartz;java.util.Set;insertion;addAll;1
quartz;java.util.Set;search;contains;21
quartz;java.util.Set;search;first;19
quartz;java.util.Set;search;last;1
quartz;java.util.Set;search;tailSet;7
quartz;java.util.Set;deletion;remove;23
quartz;java.util.Set;deletion;clear;1
quickserver;java.util.List;insertion;add;27
quickserver;java.util.List;insertion;addAll;1
quickserver;java.util.List;other;iterator;18
quickserver;java.util.List;other;size;33
quickserver;java.util.List;other;toArray;1
quickserver;java.util.List;other;isEmpty;2
quickserver;java.util.List;search;contains;1
quickserver;java.util.List;deletion;remove;11
quickserver;java.util.List;deletion;clear;4
quickserver;java.util.List;deletion;removeFirst;1
quickserver;java.util.List;access;get;10
quickserver;java.util.Map;insertion;put;9
quickserver;java.util.Map;access;get;10
quickserver;java.util.Map;other;keySet;3
quickserver;java.util.Map;other;size;1
quickserver;java.util.Map;deletion;clear;1
