interface;category;method;count
java.util.List;other;iterator;26
java.util.List;other;size;52
java.util.List;other;toArray;20
java.util.List;other;equals;3
java.util.List;other;listIterator;34
java.util.List;other;isEmpty;14
java.util.List;search;contains;7
java.util.List;search;indexOf;15
java.util.List;search;lastIndexOf;9
java.util.List;search;containsAll;2
java.util.List;insertion;add;61
java.util.List;insertion;addAll;20
java.util.List;insertion;set;19
java.util.List;deletion;remove;28
java.util.List;deletion;retainAll;5
java.util.List;deletion;clear;8
java.util.List;deletion;removeAll;4
java.util.List;access;get;37
java.util.List;access;subList;9
java.util.Map;insertion;putAll;13
java.util.Map;insertion;put;67
java.util.Map;access;get;82
java.util.Map;access;firstKey;10
java.util.Map;access;lastKey;11
java.util.Map;other;size;53
java.util.Map;other;isEmpty;16
java.util.Map;other;keySet;37
java.util.Map;other;entrySet;60
java.util.Map;other;equals;4
java.util.Map;other;values;10
java.util.Map;other;comparator;12
java.util.Map;search;containsKey;46
java.util.Map;search;containsValue;8
java.util.Map;search;subMap;11
java.util.Map;search;headMap;12
java.util.Map;search;tailMap;12
java.util.Map;deletion;remove;38
java.util.Map;deletion;clear;16
java.util.Set;search;first;4
java.util.Set;search;last;4
java.util.Set;search;subSet;5
java.util.Set;search;headSet;5
java.util.Set;search;tailSet;5
java.util.Set;search;containsAll;5
java.util.Set;search;contains;6
java.util.Set;other;comparator;4
java.util.Set;other;iterator;86
java.util.Set;other;toArray;4
java.util.Set;other;equals;6
java.util.Set;other;size;2
java.util.Set;deletion;removeAll;2
java.util.Set;deletion;retainAll;2
java.util.Set;deletion;remove;6
java.util.Set;deletion;clear;1
java.util.Set;insertion;add;3
java.util.Set;insertion;addAll;3
