project,interface,category,method,count
collections,java.util.List,other,iterator,26
collections,java.util.List,other,size,52
collections,java.util.List,other,toArray,20
collections,java.util.List,other,equals,3
collections,java.util.List,other,listIterator,34
collections,java.util.List,other,isEmpty,14
collections,java.util.List,search,contains,7
collections,java.util.List,access,subList,9
collections,java.util.List,search,indexOf,15
collections,java.util.List,search,lastIndexOf,9
collections,java.util.List,search,containsAll,2
collections,java.util.List,insertion,add,61
collections,java.util.List,insertion,addAll,20
collections,java.util.List,insertion,set,19
collections,java.util.List,deletion,remove,28
collections,java.util.List,deletion,retainAll,5
collections,java.util.List,deletion,clear,8
collections,java.util.List,deletion,removeAll,4
collections,java.util.List,access,get,37
collections,java.util.Map,insertion,putAll,13
collections,java.util.Map,insertion,put,67
collections,java.util.Map,access,get,82
collections,java.util.Map,access,firstKey,10
collections,java.util.Map,access,lastKey,11
collections,java.util.Map,other,size,53
collections,java.util.Map,other,isEmpty,16
collections,java.util.Map,other,keySet,37
collections,java.util.Map,other,entrySet,60
collections,java.util.Map,other,equals,4
collections,java.util.Map,other,values,10
collections,java.util.Map,other,comparator,12
collections,java.util.Map,search,containsKey,46
collections,java.util.Map,search,containsValue,8
collections,java.util.Map,search,subMap,11
collections,java.util.Map,search,headMap,12
collections,java.util.Map,search,tailMap,12
collections,java.util.Map,deletion,remove,38
collections,java.util.Map,deletion,clear,16
collections,java.util.Set,search,first,4
collections,java.util.Set,search,last,4
collections,java.util.Set,search,subSet,5
collections,java.util.Set,search,headSet,5
collections,java.util.Set,search,tailSet,5
collections,java.util.Set,search,containsAll,5
collections,java.util.Set,search,contains,6
collections,java.util.Set,other,comparator,4
collections,java.util.Set,other,iterator,86
collections,java.util.Set,other,toArray,4
collections,java.util.Set,other,equals,6
collections,java.util.Set,other,size,2
collections,java.util.Set,deletion,removeAll,2
collections,java.util.Set,deletion,retainAll,2
collections,java.util.Set,deletion,remove,6
collections,java.util.Set,deletion,clear,1
collections,java.util.Set,insertion,add,3
collections,java.util.Set,insertion,addAll,3
