project;interface;category;method;count
freecs;java.util.List;insertion;add;77
freecs;java.util.List;insertion;push;1
freecs;java.util.List;insertion;addAll;4
freecs;java.util.List;other;toArray;48
freecs;java.util.List;other;size;93
freecs;java.util.List;other;iterator;41
freecs;java.util.List;other;isEmpty;1
freecs;java.util.List;search;contains;72
freecs;java.util.List;search;indexOf;7
freecs;java.util.List;deletion;remove;17
freecs;java.util.List;deletion;pop;4
freecs;java.util.List;deletion;removeAll;22
freecs;java.util.List;access;get;15
freecs;java.util.Map;other;size;16
freecs;java.util.Map;other;keySet;18
freecs;java.util.Map;other;values;6
freecs;java.util.Map;other;entrySet;4
freecs;java.util.Map;access;get;74
freecs;java.util.Map;insertion;put;68
freecs;java.util.Map;insertion;putAll;1
freecs;java.util.Map;deletion;remove;43
freecs;java.util.Map;deletion;clear;1
freecs;java.util.Map;search;containsKey;24
freecs;java.util.Set;other;iterator;26
freecs;java.util.Set;other;isEmpty;2
freecs;java.util.Set;other;size;3
freecs;java.util.Set;other;toArray;1
freecs;java.util.Set;insertion;add;155
freecs;java.util.Set;search;contains;8
freecs;java.util.Set;deletion;removeAll;1
