project;interface;category;method;count
jedit;java.util.List;insertion;add;208
jedit;java.util.List;insertion;addAll;15
jedit;java.util.List;insertion;push;24
jedit;java.util.List;insertion;addFirst;1
jedit;java.util.List;insertion;addLast;1
jedit;java.util.List;insertion;set;2
jedit;java.util.List;other;toArray;46
jedit;java.util.List;other;size;256
jedit;java.util.List;other;isEmpty;58
jedit;java.util.List;other;iterator;35
jedit;java.util.List;other;listIterator;5
jedit;java.util.List;search;indexOf;5
jedit;java.util.List;search;contains;17
jedit;java.util.List;access;get;164
jedit;java.util.List;access;peek;10
jedit;java.util.List;deletion;remove;35
jedit;java.util.List;deletion;clear;21
jedit;java.util.List;deletion;pop;31
jedit;java.util.List;deletion;removeAll;1
jedit;java.util.List;deletion;removeLast;1
jedit;java.util.Map;other;keySet;22
jedit;java.util.Map;other;values;9
jedit;java.util.Map;other;size;10
jedit;java.util.Map;other;entrySet;9
jedit;java.util.Map;other;isEmpty;3
jedit;java.util.Map;insertion;put;247
jedit;java.util.Map;insertion;putAll;8
jedit;java.util.Map;deletion;remove;46
jedit;java.util.Map;deletion;clear;8
jedit;java.util.Map;access;get;147
jedit;java.util.Map;search;containsKey;7
jedit;java.util.Map;search;tailMap;2
jedit;java.util.Set;other;toArray;8
jedit;java.util.Set;other;iterator;14
jedit;java.util.Set;other;size;9
jedit;java.util.Set;other;isEmpty;4
jedit;java.util.Set;insertion;add;36
jedit;java.util.Set;insertion;addAll;13
jedit;java.util.Set;search;contains;15
jedit;java.util.Set;deletion;remove;6
jedit;java.util.Set;deletion;clear;4
jedit;java.util.Set;deletion;removeAll;1
