project;interface;category;method;count
jext;java.util.List;other;size;107
jext;java.util.List;other;iterator;15
jext;java.util.List;other;toArray;7
jext;java.util.List;other;isEmpty;3
jext;java.util.List;access;get;65
jext;java.util.List;access;peek;19
jext;java.util.List;insertion;add;47
jext;java.util.List;insertion;push;23
jext;java.util.List;insertion;addAll;1
jext;java.util.List;deletion;clear;3
jext;java.util.List;deletion;remove;6
jext;java.util.List;deletion;pop;15
jext;java.util.List;deletion;removeAll;1
jext;java.util.List;search;indexOf;7
jext;java.util.List;search;contains;2
jext;java.util.Map;insertion;put;81
jext;java.util.Map;insertion;putAll;1
jext;java.util.Map;search;containsKey;3
jext;java.util.Map;search;contains;3
jext;java.util.Map;other;keySet;1
jext;java.util.Map;other;values;2
jext;java.util.Map;other;size;4
jext;java.util.Map;other;entrySet;2
jext;java.util.Map;access;get;53
jext;java.util.Map;deletion;remove;9
jext;java.util.Map;deletion;clear;4
jext;java.util.Set;other;toArray;1
jext;java.util.Set;other;size;6
jext;java.util.Set;other;iterator;4
jext;java.util.Set;insertion;add;4
jext;java.util.Set;search;first;8
