project;interface;category;method;count
jgrapht;java.util.List;insertion;add;59
jgrapht;java.util.List;insertion;set;8
jgrapht;java.util.List;insertion;push;3
jgrapht;java.util.List;insertion;addAll;3
jgrapht;java.util.List;insertion;addFirst;1
jgrapht;java.util.List;other;size;41
jgrapht;java.util.List;other;isEmpty;5
jgrapht;java.util.List;other;toArray;2
jgrapht;java.util.List;other;listIterator;1
jgrapht;java.util.List;other;iterator;10
jgrapht;java.util.List;access;get;72
jgrapht;java.util.List;access;getFirst;2
jgrapht;java.util.List;deletion;clear;1
jgrapht;java.util.List;deletion;removeFirst;4
jgrapht;java.util.List;deletion;remove;12
jgrapht;java.util.List;deletion;pop;1
jgrapht;java.util.List;search;contains;2
jgrapht;java.util.List;search;indexOf;1
jgrapht;java.util.Map;insertion;put;49
jgrapht;java.util.Map;access;get;49
jgrapht;java.util.Map;other;values;3
jgrapht;java.util.Map;other;size;1
jgrapht;java.util.Map;other;keySet;5
jgrapht;java.util.Map;other;entrySet;2
jgrapht;java.util.Map;deletion;remove;9
jgrapht;java.util.Map;deletion;clear;5
jgrapht;java.util.Map;search;containsKey;13
jgrapht;java.util.Set;other;iterator;48
jgrapht;java.util.Set;other;size;54
jgrapht;java.util.Set;other;toArray;1
jgrapht;java.util.Set;other;isEmpty;9
jgrapht;java.util.Set;other;equals;2
jgrapht;java.util.Set;insertion;add;54
jgrapht;java.util.Set;insertion;addAll;17
jgrapht;java.util.Set;deletion;clear;3
jgrapht;java.util.Set;deletion;remove;18
jgrapht;java.util.Set;search;contains;28
