project;interface;category;method;count
marauroa;java.util.List;deletion;clear;24
marauroa;java.util.List;deletion;remove;13
marauroa;java.util.List;insertion;add;87
marauroa;java.util.List;insertion;addAll;2
marauroa;java.util.List;insertion;set;1
marauroa;java.util.List;other;iterator;22
marauroa;java.util.List;other;isEmpty;9
marauroa;java.util.List;other;size;21
marauroa;java.util.List;other;toArray;1
marauroa;java.util.List;other;equals;4
marauroa;java.util.List;search;contains;4
marauroa;java.util.List;access;get;3
marauroa;java.util.Map;other;values;28
marauroa;java.util.Map;other;entrySet;14
marauroa;java.util.Map;other;size;9
marauroa;java.util.Map;other;keySet;9
marauroa;java.util.Map;other;isEmpty;7
marauroa;java.util.Map;other;equals;6
marauroa;java.util.Map;deletion;clear;12
marauroa;java.util.Map;deletion;remove;18
marauroa;java.util.Map;insertion;put;134
marauroa;java.util.Map;insertion;putAll;8
marauroa;java.util.Map;access;get;56
marauroa;java.util.Map;search;containsKey;23
marauroa;java.util.Set;deletion;remove;3
marauroa;java.util.Set;deletion;clear;2
marauroa;java.util.Set;insertion;add;3
marauroa;java.util.Set;other;isEmpty;1
marauroa;java.util.Set;other;iterator;4
marauroa;java.util.Set;other;size;1
marauroa;java.util.Set;other;toArray;1
