project;interface;category;method;count
pmd;java.util.List;deletion;clear;15
pmd;java.util.List;deletion;remove;25
pmd;java.util.List;deletion;pop;8
pmd;java.util.List;deletion;removeLast;1
pmd;java.util.List;insertion;add;169
pmd;java.util.List;insertion;addAll;11
pmd;java.util.List;insertion;push;9
pmd;java.util.List;insertion;addFirst;1
pmd;java.util.List;insertion;addLast;3
pmd;java.util.List;other;size;151
pmd;java.util.List;other;isEmpty;55
pmd;java.util.List;other;iterator;23
pmd;java.util.List;other;listIterator;1
pmd;java.util.List;other;toArray;6
pmd;java.util.List;access;get;149
pmd;java.util.List;access;peek;10
pmd;java.util.List;access;getLast;10
pmd;java.util.List;access;getFirst;1
pmd;java.util.List;search;contains;14
pmd;java.util.List;search;indexOf;3
pmd;java.util.Map;insertion;put;180
pmd;java.util.Map;insertion;putAll;2
pmd;java.util.Map;other;entrySet;22
pmd;java.util.Map;other;values;4
pmd;java.util.Map;other;size;5
pmd;java.util.Map;other;keySet;34
pmd;java.util.Map;other;isEmpty;11
pmd;java.util.Map;other;equals;1
pmd;java.util.Map;access;get;56
pmd;java.util.Map;deletion;remove;2
pmd;java.util.Map;deletion;clear;4
pmd;java.util.Map;search;containsKey;24
pmd;java.util.Map;search;containsValue;2
pmd;java.util.Set;insertion;add;72
pmd;java.util.Set;insertion;addAll;3
pmd;java.util.Set;other;size;12
pmd;java.util.Set;other;isEmpty;10
pmd;java.util.Set;other;toArray;2
pmd;java.util.Set;other;iterator;18
pmd;java.util.Set;search;first;1
pmd;java.util.Set;search;last;1
pmd;java.util.Set;search;contains;35
pmd;java.util.Set;deletion;clear;8
pmd;java.util.Set;deletion;remove;5
pmd;java.util.Set;deletion;removeAll;1
