project;interface;category;method;count
quartz;java.util.List;insertion;add;77
quartz;java.util.List;insertion;addAll;4
quartz;java.util.List;other;toArray;28
quartz;java.util.List;other;size;45
quartz;java.util.List;other;iterator;75
quartz;java.util.List;other;isEmpty;1
quartz;java.util.List;access;get;14
quartz;java.util.List;access;getFirst;1
quartz;java.util.List;deletion;remove;14
quartz;java.util.List;deletion;removeFirst;1
quartz;java.util.List;deletion;clear;8
quartz;java.util.List;search;contains;9
quartz;java.util.Map;other;entrySet;6
quartz;java.util.Map;other;isEmpty;4
quartz;java.util.Map;other;equals;1
quartz;java.util.Map;other;keySet;7
quartz;java.util.Map;other;size;13
quartz;java.util.Map;other;values;10
quartz;java.util.Map;deletion;clear;1
quartz;java.util.Map;deletion;remove;21
quartz;java.util.Map;search;containsKey;1
quartz;java.util.Map;search;containsValue;1
quartz;java.util.Map;access;get;41
quartz;java.util.Map;insertion;put;67
quartz;java.util.Map;insertion;putAll;2
quartz;java.util.Set;other;toArray;3
quartz;java.util.Set;other;iterator;14
quartz;java.util.Set;other;size;10
quartz;java.util.Set;other;isEmpty;1
quartz;java.util.Set;insertion;add;31
quartz;java.util.Set;insertion;addAll;1
quartz;java.util.Set;search;contains;21
quartz;java.util.Set;search;first;19
quartz;java.util.Set;search;last;1
quartz;java.util.Set;search;tailSet;7
quartz;java.util.Set;deletion;remove;23
quartz;java.util.Set;deletion;clear;1
