interface;category;method;count
java.util.List;insertion;add;27
java.util.List;insertion;addAll;1
java.util.List;other;iterator;18
java.util.List;other;size;33
java.util.List;other;toArray;1
java.util.List;other;isEmpty;2
java.util.List;search;contains;1
java.util.List;deletion;remove;11
java.util.List;deletion;clear;4
java.util.List;deletion;removeFirst;1
java.util.List;access;get;10
java.util.Map;insertion;put;9
java.util.Map;access;get;10
java.util.Map;other;keySet;3
java.util.Map;other;size;1
java.util.Map;deletion;clear;1
java.util.Set;other;iterator;7
java.util.Set;other;size;5
java.util.Set;other;isEmpty;1
java.util.Set;insertion;add;5
java.util.Set;deletion;remove;4
java.util.Set;deletion;clear;3
java.util.Set;search;contains;1
